hhid,sectionn1,sectionn3,sectionn4,sectionn5
15,kerosene stove,no,,
15,modern bed,no,,
15,sofa/couch,no,,
15,modern chair,no,,
15,modern table,no,,
15,radio,no,,
15,television,no,,
15,electric fan,no,,
15,mobile phone,no,,
15,bicycle,no,,
15,motorbike,no,,
15,car or truck,no,,
15,grain mill house,no,,
15,sewing machine,no,,
16,axe(metrebia),yes,2,30
16,pick-axe (doma),no,,
16,sickle,yes,2,60
16,plough (include all related parts),yes,1,100
16,yoke,yes,1,30
16,hay fork,yes,2,40
16,shovel,no,,
16,hoe,yes,2,20
16,winnower,yes,1,40
16,horse/donkey cart for agriculture,no,,
16,water pump,no,,
16,tractor/hand-held motorized tiller,no,,
16,chemical sprayer (mercha),no,,
16,improved charcoal/wood stove,no,,
16,kerosene stove,no,,
16,modern bed,no,,
16,sofa/couch,no,,
16,modern chair,no,,
16,modern table,no,,
16,radio,no,,
16,television,no,,
16,electric fan,no,,
16,mobile phone,no,,
16,bicycle,no,,
16,motorbike,no,,
16,car or truck,no,,
16,grain mill house,no,,
16,sewing machine,no,,
17,axe(metrebia),yes,3,60
17,pick-axe (doma),yes,1,40
17,sickle,yes,2,100
17,plough (include all related parts),yes,1,100
17,yoke,yes,1,50
17,hay fork,yes,2,100
17,shovel,yes,1,70
17,hoe,yes,4,40
17,winnower,yes,1,20
17,horse/donkey cart for agriculture,no,,
17,water pump,no,,
17,chemical sprayer (mercha),no,,
17,improved charcoal/wood stove,yes,1,130
17,kerosene stove,no,,
17,modern bed,yes,1,1200
17,sofa/couch,no,,
17,modern chair,no,,
17,modern table,no,,
17,radio,yes,1,300
17,television,no,,
17,electric fan,no,,
17,mobile phone,yes,1,700
17,bicycle,no,,
17,motorbike,no,,
17,car or truck,no,,
17,grain mill house,no,,
17,sewing machine,no,,
18,axe(metrebia),yes,1,50
18,pick-axe (doma),no,,
18,sickle,yes,1,60
18,plough (include all related parts),no,,
18,yoke,no,,
18,hay fork,no,,
18,shovel,no,,
18,hoe,no,,
18,winnower,no,,
18,horse/donkey cart for agriculture,no,,
18,water pump,no,,
18,tractor/hand-held motorized tiller,no,,
18,chemical sprayer (mercha),no,,
18,improved charcoal/wood stove,no,,
18,kerosene stove,no,,
18,modern bed,no,,
18,sofa/couch,no,,
18,modern chair,no,,
18,modern table,no,,
18,radio,yes,1,300
18,television,no,,
18,electric fan,no,,
18,mobile phone,no,,
18,bicycle,no,,
18,motorbike,no,,
18,car or truck,no,,
18,grain mill house,no,,
18,sewing machine,no,,
19,axe(metrebia),yes,4,200
19,pick-axe (doma),yes,2,1400
19,sickle,yes,2,120
19,plough (include all related parts),yes,2,400
19,yoke,yes,2,100
19,hay fork,yes,6,120
19,shovel,yes,1,70
19,hoe,yes,4,40
19,winnower,yes,1,50
19,horse/donkey cart for agriculture,no,,
19,water pump,no,,
19,tractor/hand-held motorized tiller,no,,
19,chemical sprayer (mercha),no,,
19,improved charcoal/wood stove,no,,
19,kerosene stove,no,,
19,modern bed,yes,1,2000
19,sofa/couch,no,,
19,sofa/couch,no,,
19,modern table,no,,
19,radio,yes,2,550
19,television,no,,
19,electric fan,no,,
19,mobile phone,no,,
19,bicycle,no,,
19,motorbike,no,,
19,car or truck,no,,
19,grain mill house,no,,
19,sewing machine,no,,
20,axe(metrebia),yes,2,50
20,pick-axe (doma),no,,
20,sickle,yes,2,160
20,plough (include all related parts),yes,1,200
20,yoke,yes,1,70
20,yoke,yes,1,60
20,hay fork,yes,2,48
20,hoe,no,,
20,winnower,yes,1,60
20,horse/donkey cart for agriculture,no,,
20,water pump,no,,
20,tractor/hand-held motorized tiller,no,,
20,chemical sprayer (mercha),no,,
20,improved charcoal/wood stove,no,,
20,kerosene stove,no,,
20,modern bed,no,,
20,sofa/couch,no,,
20,modern chair,no,,
20,modern table,no,,
20,radio,no,,
20,television,no,,
20,electric fan,no,,
20,mobile phone,no,,
20,bicycle,no,,
20,motorbike,no,,
20,car or truck,no,,
20,grain mill house,no,,
20,sewing machine,no,,
21,axe(metrebia),yes,1,12
21,pick-axe (doma),no,,
21,sickle,yes,2,140
21,plough (include all related parts),no,,
21,yoke,yes,1,20
21,hay fork,no,,
21,shovel,no,,
21,hoe,yes,1,10
21,winnower,no,,
21,horse/donkey cart for agriculture,no,,
21,water pump,no,,
21,tractor/hand-held motorized tiller,no,,
21,chemical sprayer (mercha),no,,
21,improved charcoal/wood stove,no,,
21,kerosene stove,no,,
21,modern bed,no,,
21,sofa/couch,no,,
21,modern chair,no,,
21,modern table,no,,
21,radio,no,,
21,television,no,,
21,electric fan,no,,
21,mobile phone,no,,
21,bicycle,no,,
21,motorbike,no,,
21,car or truck,no,,
22,axe(metrebia),yes,1,10
22,pick-axe (doma),no,,
22,sickle,yes,2,70
22,plough (include all related parts),yes,1,200
22,yoke,yes,1,70
22,hay fork,yes,1,30
22,shovel,no,,
22,hoe,no,,
22,winnower,yes,1,20
22,horse/donkey cart for agriculture,no,,
22,water pump,no,,
22,tractor/hand-held motorized tiller,no,,
22,chemical sprayer (mercha),no,,
22,improved charcoal/wood stove,no,,
22,kerosene stove,no,,
22,modern bed,no,,
22,sofa/couch,no,,
22,sofa/couch,no,,
22,modern table,no,,
22,radio,no,,
22,television,no,,
22,electric fan,no,,
22,mobile phone,no,,
22,bicycle,no,,
22,motorbike,no,,
22,car or truck,no,,
23,axe(metrebia),yes,1,20
23,pick-axe (doma),no,,
23,sickle,yes,2,40
23,plough (include all related parts),yes,1,40
23,yoke,yes,1,50
23,hay fork,yes,2,20
23,shovel,no,,
23,hoe,yes,1,12
23,winnower,yes,1,30
23,horse/donkey cart for agriculture,no,,
23,water pump,no,,
23,tractor/hand-held motorized tiller,no,,
23,chemical sprayer (mercha),no,,
23,improved charcoal/wood stove,no,,
23,kerosene stove,no,,
23,modern bed,no,,
23,sofa/couch,no,,
23,modern chair,no,,
23,modern table,no,,
23,radio,no,,
23,television,no,,
23,electric fan,no,,
23,mobile phone,no,,
23,bicycle,no,,
23,motorbike,no,,
23,car or truck,no,,
24,axe(metrebia),yes,2,50
24,pick-axe (doma),no,,
24,sickle,yes,2,24
24,plough (include all related parts),yes,1,130
24,yoke,yes,2,60
24,hay fork,yes,2,30
24,shovel,no,,
24,hoe,yes,2,40
24,winnower,no,,
24,horse/donkey cart for agriculture,no,,
24,water pump,no,,
24,tractor/hand-held motorized tiller,no,,
24,chemical sprayer (mercha),no,,
24,improved charcoal/wood stove,no,,
24,kerosene stove,no,,
24,modern bed,no,,
24,sofa/couch,no,,
24,modern chair,no,,
24,modern table,no,,
24,radio,no,,
24,television,no,,
24,electric fan,no,,
24,mobile phone,no,,
24,bicycle,no,,
24,motorbike,no,,
24,car or truck,no,,
25,axe(metrebia),yes,3,60
25,pick-axe (doma),no,,
25,sickle,yes,2,60
25,plough (include all related parts),yes,1,120
25,yoke,yes,1,110
25,hay fork,yes,4,20
25,shovel,no,,
25,hoe,yes,2,14
25,winnower,yes,1,50
25,horse/donkey cart for agriculture,no,,
25,water pump,no,,
25,tractor/hand-held motorized tiller,no,,
25,chemical sprayer (mercha),no,,
25,improved charcoal/wood stove,no,,
25,kerosene stove,no,,
25,modern bed,no,,
25,sofa/couch,no,,
25,modern chair,no,,
25,modern table,no,,
25,radio,no,,
25,television,no,,
25,electric fan,no,,
25,mobile phone,no,,
25,bicycle,no,,
25,motorbike,no,,
25,car or truck,no,,
26,axe(metrebia),yes,4,120
26,pick-axe (doma),no,,
26,sickle,yes,4,200
26,plough (include all related parts),yes,2,300
26,yoke,yes,1,80
26,hay fork,yes,2,100
26,shovel,no,,
26,hoe,yes,2,40
26,winnower,yes,1,500
26,horse/donkey cart for agriculture,no,,
26,water pump,no,,
26,tractor/hand-held motorized tiller,no,,
26,chemical sprayer (mercha),no,,
26,improved charcoal/wood stove,no,,
26,kerosene stove,no,,
26,modern bed,no,,
26,sofa/couch,no,,
26,modern chair,yes,3,1000
26,modern table,yes,2,250
26,radio,yes,1,450
26,television,no,,
26,electric fan,no,,
26,mobile phone,yes,1,400
26,bicycle,no,,
26,motorbike,no,,
26,car or truck,no,,
27,axe(metrebia),yes,1,15
27,pick-axe (doma),no,,
27,sickle,yes,1,60
27,plough (include all related parts),yes,1,160
27,yoke,yes,1,40
27,hay fork,yes,1,45
27,shovel,no,,
27,hoe,no,,
27,winnower,yes,1,30
27,horse/donkey cart for agriculture,no,,
27,water pump,no,,
27,tractor/hand-held motorized tiller,no,,
27,chemical sprayer (mercha),no,,
27,improved charcoal/wood stove,no,,
27,kerosene stove,no,,
27,modern bed,no,,
27,sofa/couch,no,,
27,modern chair,no,,
27,modern table,yes,1,100
27,radio,yes,1,200
27,television,no,,
27,electric fan,no,,
27,mobile phone,no,,
27,bicycle,no,,
27,motorbike,no,,
27,car or truck,no,,
28,axe(metrebia),yes,2,70
28,pick-axe (doma),no,,
28,sickle,yes,3,38
28,plough (include all related parts),no,,
28,yoke,no,,
28,hay fork,yes,2,20
28,shovel,no,,
28,hoe,yes,1,20
28,winnower,no,,
28,horse/donkey cart for agriculture,no,,
28,water pump,no,,
28,tractor/hand-held motorized tiller,no,,
28,chemical sprayer (mercha),no,,
28,improved charcoal/wood stove,no,,
28,kerosene stove,no,,
28,modern bed,no,,
28,sofa/couch,no,,
28,modern chair,no,,
28,modern table,no,,
28,radio,no,,
28,television,no,,
28,electric fan,no,,
28,mobile phone,no,,
28,bicycle,no,,
28,motorbike,no,,
28,car or truck,no,,
29,axe(metrebia),yes,2,28
29,pick-axe (doma),no,,
29,sickle,yes,2,50
29,plough (include all related parts),yes,1,160
29,yoke,yes,1,50
29,hay fork,no,,
29,shovel,no,,
29,hoe,yes,1,15
29,winnower,yes,1,20
29,horse/donkey cart for agriculture,no,,
29,water pump,no,,
29,tractor/hand-held motorized tiller,no,,
29,chemical sprayer (mercha),no,,
29,improved charcoal/wood stove,no,,
29,kerosene stove,no,,
29,modern bed,no,,
29,sofa/couch,no,,
29,modern chair,no,,
29,modern table,no,,
29,radio,no,,
29,television,no,,
29,electric fan,no,,
29,mobile phone,no,,
29,bicycle,no,,
29,motorbike,no,,
29,car or truck,no,,
30,axe(metrebia),yes,3,50
30,pick-axe (doma),yes,1,10
30,sickle,yes,3,150
30,plough (include all related parts),yes,1,100
30,yoke,yes,1,50
30,hay fork,yes,3,100
30,shovel,yes,1,60
30,hoe,yes,1,80
30,winnower,yes,1,30
30,horse/donkey cart for agriculture,no,,
30,water pump,yes,1,5000
30,tractor/hand-held motorized tiller,no,,
30,chemical sprayer (mercha),no,,
30,improved charcoal/wood stove,no,,
30,kerosene stove,no,,
30,modern bed,no,,
30,sofa/couch,no,,
30,modern chair,no,,
30,modern table,no,,
30,radio,yes,2,500
30,television,no,,
30,electric fan,no,,
30,mobile phone,no,,
30,bicycle,no,,
30,motorbike,no,,
30,car or truck,no,,
30,grain mill house,no,,
30,sewing machine,no,,
354,axe(metrebia),no,,
354,pick-axe (doma),no,,
354,sickle,yes,2,40
354,plough (include all related parts),yes,2,100
354,yoke,yes,2,30
354,hay fork,no,,
354,shovel,no,,
354,hoe,no,,
354,winnower,no,,
354,horse/donkey cart for agriculture,no,,
354,water pump,no,,
354,tractor/hand-held motorized tiller,no,,
354,chemical sprayer (mercha),no,,
354,improved charcoal/wood stove,no,,
354,kerosene stove,no,,
354,modern bed,yes,1,500
354,sofa/couch,no,,
354,modern chair,no,,
354,modern table,no,,
354,radio,yes,1,100
354,television,no,,
354,electric fan,no,,
354,mobile phone,no,,
354,bicycle,no,,
354,motorbike,no,,
354,car or truck,no,,
354,grain mill house,no,,
354,sewing machine,no,,
355,axe(metrebia),yes,1,40
355,pick-axe (doma),yes,2,40
355,sickle,yes,2,120
355,plough (include all related parts),yes,2,140
355,yoke,yes,2,100
355,hay fork,yes,2,120
355,shovel,no,,
355,hoe,yes,1,40
355,winnower,yes,2,50
355,horse/donkey cart for agriculture,yes,1,1000
355,water pump,no,,
355,tractor/hand-held motorized tiller,no,,
355,chemical sprayer (mercha),no,,
355,improved charcoal/wood stove,no,,
355,kerosene stove,no,,
355,modern bed,yes,1,700
355,sofa/couch,no,,
355,modern chair,no,,
355,modern table,no,,
355,radio,yes,1,80
355,television,no,,
355,electric fan,no,,
355,mobile phone,yes,1,400
355,bicycle,no,,
355,motorbike,no,,
355,car or truck,no,,
355,grain mill house,no,,
355,sewing machine,no,,
356,axe(metrebia),yes,1,150
356,pick-axe (doma),yes,3,75
356,sickle,yes,4,160
356,plough (include all related parts),yes,2,240
356,yoke,yes,2,120
356,hay fork,yes,2,160
356,shovel,no,,
356,hoe,yes,1,50
356,winnower,yes,2,140
356,horse/donkey cart for agriculture,yes,1,1500
356,water pump,no,,
356,tractor/hand-held motorized tiller,no,,
356,chemical sprayer (mercha),yes,1,600
356,improved charcoal/wood stove,yes,1,100
356,kerosene stove,no,,
356,modern bed,yes,1,650
356,sofa/couch,no,,
356,modern chair,yes,10,500
356,modern table,yes,1,130
356,radio,yes,1,350
356,television,no,,
356,electric fan,no,,
356,mobile phone,yes,1,500
356,bicycle,yes,1,1500
356,motorbike,no,,
356,car or truck,no,,
356,grain mill house,no,,
356,sewing machine,no,,
357,axe(metrebia),yes,1,30
357,pick-axe (doma),yes,1,20
357,sickle,yes,1,60
357,plough (include all related parts),yes,1,200
357,yoke,yes,1,100
357,hay fork,yes,1,40
357,shovel,no,,
357,hoe,yes,1,60
357,winnower,yes,2,80
357,horse/donkey cart for agriculture,no,,
357,water pump,no,,
357,tractor/hand-held motorized tiller,no,,
357,chemical sprayer (mercha),no,,
357,improved charcoal/wood stove,no,,
357,kerosene stove,no,,
357,modern bed,yes,1,1000
357,sofa/couch,no,,
357,modern chair,no,,
357,modern table,no,,
357,radio,yes,1,500
357,television,no,,
357,electric fan,no,,
357,mobile phone,yes,1,500
357,bicycle,no,,
357,motorbike,no,,
357,car or truck,no,,
357,grain mill house,no,,
357,sewing machine,no,,
358,axe(metrebia),yes,1,70
358,pick-axe (doma),yes,4,80
358,sickle,yes,2,100
358,plough (include all related parts),yes,4,120
358,yoke,yes,3,105
358,hay fork,yes,1,50
358,shovel,no,,
358,hoe,yes,1,40
358,winnower,yes,3,210
358,horse/donkey cart for agriculture,no,,
358,water pump,no,,
358,tractor/hand-held motorized tiller,no,,
358,chemical sprayer (mercha),no,,
358,improved charcoal/wood stove,no,,
358,kerosene stove,no,,
358,modern bed,no,,
358,sofa/couch,no,,
358,modern chair,no,,
358,modern table,no,,
358,radio,yes,1,120
358,television,no,,
358,electric fan,no,,
358,mobile phone,no,,
358,bicycle,no,,
358,motorbike,no,,
358,car or truck,no,,
358,grain mill house,no,,
358,sewing machine,no,,
359,axe(metrebia),yes,2,40
359,pick-axe (doma),yes,1,15
359,sickle,yes,2,60
359,plough (include all related parts),yes,2,140
359,yoke,yes,1,40
359,hay fork,no,,
359,shovel,no,,
359,hoe,no,,
359,winnower,yes,1,30
359,horse/donkey cart for agriculture,yes,1,1200
359,water pump,no,,
359,tractor/hand-held motorized tiller,no,,
359,chemical sprayer (mercha),yes,1,400
359,improved charcoal/wood stove,no,,
359,kerosene stove,no,,
359,modern bed,yes,1,700
359,sofa/couch,no,,
359,modern chair,no,,
359,modern table,yes,1,100
359,radio,no,,
359,television,no,,
359,electric fan,no,,
359,mobile phone,yes,1,350
359,bicycle,no,,
359,motorbike,no,,
359,car or truck,no,,
359,grain mill house,no,,
359,sewing machine,no,,
31,axe(metrebia),yes,3,90
31,pick-axe (doma),yes,1,70
31,sickle,yes,2,70
31,plough (include all related parts),yes,1,100
31,yoke,yes,1,80
31,hay fork,yes,1,50
31,shovel,yes,2,30
31,hoe,no,,
31,winnower,yes,1,50
31,horse/donkey cart for agriculture,no,,
31,water pump,no,,
31,tractor/hand-held motorized tiller,no,,
31,chemical sprayer (mercha),no,,
31,improved charcoal/wood stove,no,,
31,kerosene stove,no,,
31,modern bed,no,,
31,sofa/couch,no,,
31,modern chair,no,,
31,modern table,no,,
31,radio,yes,1,300
31,television,no,,
31,electric fan,no,,
31,mobile phone,yes,1,300
31,bicycle,no,,
31,motorbike,no,,
31,car or truck,no,,
31,grain mill house,no,,
31,sewing machine,no,,
32,axe(metrebia),yes,2,100
32,pick-axe (doma),no,,
32,sickle,yes,2,60
32,plough (include all related parts),yes,2,140
32,yoke,yes,2,50
32,hay fork,yes,1,40
32,shovel,no,,
32,hoe,no,,
32,winnower,yes,3,90
32,horse/donkey cart for agriculture,no,,
32,water pump,no,,
32,tractor/hand-held motorized tiller,no,,
32,chemical sprayer (mercha),no,,
32,improved charcoal/wood stove,no,,
32,kerosene stove,no,,
32,modern bed,no,,
32,sofa/couch,no,,
32,modern chair,no,,
32,modern table,no,,
32,radio,yes,1,150
32,television,no,,
32,electric fan,no,,
32,mobile phone,no,,
32,bicycle,no,,
32,motorbike,no,,
32,car or truck,no,,
32,grain mill house,no,,
32,sewing machine,no,,
33,axe(metrebia),yes,1,20
33,pick-axe (doma),no,,
33,sickle,yes,2,30
33,plough (include all related parts),yes,1,100
33,yoke,no,,
33,hay fork,yes,1,50
33,shovel,no,,
33,hoe,no,,
33,winnower,no,,
33,horse/donkey cart for agriculture,no,,
33,water pump,no,,
33,tractor/hand-held motorized tiller,no,,
33,chemical sprayer (mercha),no,,
33,improved charcoal/wood stove,no,,
33,kerosene stove,no,,
33,modern bed,no,,
33,sofa/couch,no,,
33,modern chair,no,,
33,modern table,no,,
33,radio,no,,
33,television,no,,
33,electric fan,no,,
33,mobile phone,no,,
33,bicycle,no,,
33,motorbike,no,,
33,car or truck,no,,
33,grain mill house,no,,
33,sewing machine,no,,
34,axe(metrebia),yes,1,5
34,pick-axe (doma),no,,
34,sickle,yes,1,6
34,plough (include all related parts),yes,1,70
34,yoke,no,,
34,hay fork,no,,
34,shovel,yes,1,4
34,hoe,no,,
34,winnower,no,,
34,horse/donkey cart for agriculture,no,,
34,water pump,no,,
34,tractor/hand-held motorized tiller,no,,
34,chemical sprayer (mercha),no,,
34,improved charcoal/wood stove,no,,
34,kerosene stove,no,,
34,modern bed,no,,
34,sofa/couch,no,,
34,modern chair,no,,
34,modern table,no,,
34,radio,no,,
34,television,no,,
34,electric fan,no,,
34,mobile phone,no,,
34,bicycle,no,,
34,motorbike,no,,
34,car or truck,no,,
34,grain mill house,no,,
34,sewing machine,no,,
35,axe(metrebia),yes,1,40
35,pick-axe (doma),no,,
35,sickle,yes,2,20
35,plough (include all related parts),yes,1,100
35,yoke,yes,1,50
35,hay fork,yes,1,15
35,shovel,no,,
35,hoe,no,,
35,winnower,yes,1,15
35,horse/donkey cart for agriculture,no,,
35,water pump,no,,
35,tractor/hand-held motorized tiller,no,,
35,chemical sprayer (mercha),no,,
35,improved charcoal/wood stove,no,,
35,kerosene stove,no,,
35,modern bed,no,,
35,sofa/couch,no,,
35,modern chair,no,,
35,modern table,no,,
35,radio,no,,
35,television,no,,
35,electric fan,no,,
35,mobile phone,no,,
35,bicycle,no,,
35,motorbike,no,,
35,car or truck,no,,
35,grain mill house,no,,
35,sewing machine,no,,
36,axe(metrebia),yes,2,80
36,pick-axe (doma),yes,1,20
36,sickle,yes,2,160
36,plough (include all related parts),yes,1,100
36,yoke,yes,1,60
36,hay fork,yes,2,40
36,shovel,yes,1,10
36,hoe,no,,
36,winnower,yes,1,30
36,horse/donkey cart for agriculture,no,,
36,water pump,no,,
36,tractor/hand-held motorized tiller,no,,
36,chemical sprayer (mercha),no,,
36,improved charcoal/wood stove,yes,1,10
36,kerosene stove,no,,
36,modern bed,no,,
36,sofa/couch,no,,
36,modern chair,no,,
36,modern table,no,,
36,radio,no,,
36,television,no,,
36,electric fan,no,,
36,mobile phone,no,,
36,bicycle,no,,
36,motorbike,no,,
36,car or truck,no,,
36,grain mill house,no,,
36,sewing machine,no,,
121,axe(metrebia),yes,3,180
121,pick-axe (doma),yes,1,80
121,sickle,yes,4,300
121,plough (include all related parts),yes,2,240
121,yoke,yes,2,260
121,hay fork,yes,1,40
121,shovel,yes,1,120
121,hoe,yes,1,80
121,winnower,no,,
121,horse/donkey cart for agriculture,no,,
121,water pump,no,,
121,tractor/hand-held motorized tiller,no,,
121,chemical sprayer (mercha),yes,1,750
121,improved charcoal/wood stove,no,,
121,kerosene stove,no,,
121,modern bed,yes,1,800
121,sofa/couch,no,,
121,modern chair,yes,4,240
121,modern table,yes,2,200
121,radio,yes,1,200
121,television,yes,1,3500
121,electric fan,no,,
121,mobile phone,yes,1,300
121,bicycle,no,,
121,motorbike,no,,
121,car or truck,no,,
121,grain mill house,no,,
121,sewing machine,no,,
122,axe(metrebia),yes,2,100
122,pick-axe (doma),yes,1,60
122,sickle,yes,2,120
122,plough (include all related parts),yes,2,150
122,yoke,yes,2,120
122,hay fork,yes,2,160
122,shovel,yes,1,60
122,hoe,no,,
122,winnower,yes,1,60
122,horse/donkey cart for agriculture,no,,
122,water pump,no,,
122,tractor/hand-held motorized tiller,no,,
122,chemical sprayer (mercha),no,,
122,improved charcoal/wood stove,yes,2,30
122,kerosene stove,no,,
122,modern bed,no,,
122,sofa/couch,no,,
122,modern chair,no,,
122,modern table,no,,
122,radio,no,,
122,television,no,,
122,electric fan,no,,
122,mobile phone,yes,1,450
122,bicycle,no,,
122,motorbike,no,,
122,car or truck,no,,
122,grain mill house,no,,
122,sewing machine,no,,
123,axe(metrebia),yes,3,70
123,pick-axe (doma),no,,
123,sickle,yes,2,80
123,plough (include all related parts),yes,4,160
123,yoke,yes,4,80
123,hay fork,yes,2,120
123,shovel,yes,1,35
123,hoe,yes,1,15
123,winnower,yes,1,80
123,horse/donkey cart for agriculture,no,,
123,water pump,no,,
123,tractor/hand-held motorized tiller,no,,
123,chemical sprayer (mercha),no,,
123,improved charcoal/wood stove,no,,
123,kerosene stove,no,,
123,modern bed,no,,
123,sofa/couch,no,,
123,modern chair,no,,
123,modern table,no,,
123,radio,yes,1,400
123,television,no,,
123,electric fan,no,,
123,mobile phone,no,,
123,bicycle,no,,
123,motorbike,no,,
123,car or truck,no,,
123,grain mill house,no,,
123,sewing machine,no,,
124,axe(metrebia),yes,2,40
124,pick-axe (doma),yes,1,10
124,sickle,yes,1,50
124,plough (include all related parts),yes,1,60
124,yoke,yes,1,80
124,hay fork,yes,1,90
124,shovel,no,,
124,hoe,yes,1,15
124,winnower,no,,
124,horse/donkey cart for agriculture,no,,
124,water pump,no,,
124,tractor/hand-held motorized tiller,no,,
124,chemical sprayer (mercha),no,,
124,improved charcoal/wood stove,no,,
124,kerosene stove,no,,
124,modern bed,no,,
124,sofa/couch,no,,
124,modern chair,no,,
124,modern table,no,,
124,radio,no,,
124,television,no,,
124,electric fan,no,,
124,mobile phone,no,,
124,bicycle,no,,
124,motorbike,no,,
124,car or truck,no,,
124,grain mill house,no,,
124,sewing machine,no,,
125,axe(metrebia),yes,2,40
125,pick-axe (doma),yes,2,100
125,sickle,yes,1,70
125,plough (include all related parts),yes,1,250
125,yoke,yes,1,75
125,hay fork,yes,1,60
125,shovel,yes,1,70
125,hoe,no,,
125,winnower,no,,
125,horse/donkey cart for agriculture,no,,
125,water pump,no,,
125,tractor/hand-held motorized tiller,no,,
125,chemical sprayer (mercha),no,,
125,improved charcoal/wood stove,no,,
125,kerosene stove,no,,
125,modern bed,no,,
125,sofa/couch,no,,
125,modern chair,no,,
125,modern table,no,,
125,radio,no,,
125,television,no,,
125,electric fan,no,,
125,mobile phone,no,,
125,bicycle,no,,
125,motorbike,no,,
125,car or truck,no,,
125,grain mill house,no,,
125,sewing machine,no,,
126,axe(metrebia),yes,2,80
126,pick-axe (doma),yes,1,60
126,sickle,yes,2,100
126,plough (include all related parts),yes,1,60
126,yoke,yes,2,150
126,hay fork,yes,1,50
126,shovel,yes,1,60
126,hoe,no,,
126,winnower,yes,1,70
126,horse/donkey cart for agriculture,no,,
126,water pump,no,,
126,tractor/hand-held motorized tiller,no,,
126,chemical sprayer (mercha),no,,
126,improved charcoal/wood stove,no,,
126,kerosene stove,no,,
126,modern bed,no,,
126,sofa/couch,no,,
126,modern chair,no,,
126,modern table,no,,
126,radio,no,,
126,television,no,,
126,electric fan,no,,
126,mobile phone,no,,
126,bicycle,no,,
126,motorbike,no,,
126,car or truck,no,,
126,grain mill house,no,,
126,sewing machine,no,,
127,axe(metrebia),yes,3,200
