hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
26,5,male,10,child,,yes,did not complete any schooling,no,student,
26,6,female,7,child,,yes,did not complete any schooling,no,student,
26,7,male,1,child,,no,,,,
27,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
27,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
27,3,female,13,child,single,yes,3rd grade,no,student,
27,4,male,10,child,,yes,1st grade,no,student,
27,5,female,6,child,,yes,did not complete any schooling,no,too young,
27,101,female,17,child,single,yes,8th grade,no,student,
28,1,male,58,household head,married,yes,did not complete any schooling,yes,,agriculture
28,2,female,50,spouse,widowed,yes,did not complete any schooling,yes,,household work
28,3,male,22,child,divorced,yes,1st grade,yes,,agriculture
28,4,male,17,child,single,yes,did not complete any schooling,yes,,agriculture
28,5,male,12,child,single,yes,1st grade,no,student,
28,6,male,10,child,,yes,did not complete any schooling,no,too young,
28,7,female,6,child,,yes,did not complete any schooling,no,too young,
28,8,female,4,child,,no,,,,
28,9,female,0,child,,no,,,,
29,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
29,2,female,27,spouse,married,yes,did not complete any schooling,yes,,household work
29,3,female,6,child,,yes,did not complete any schooling,no,too young,
29,4,female,4,child,,no,,,,
29,5,male,1,child,,no,,,,
30,1,male,38,household head,married,yes,adult literacy program,yes,,agriculture
30,2,female,30,spouse,married,yes,adult literacy program,yes,,household work
30,3,male,18,spouse,married,yes,8th grade,no,student,
30,4,male,15,child,single,yes,3rd grade,no,student,
30,5,male,13,child,single,yes,3rd grade,no,student,
30,6,female,10,child,,yes,3rd grade,no,student,
30,7,female,7,child,,yes,did not complete any schooling,no,student,
354,1,female,40,household head,widowed,yes,did not complete any schooling,yes,,household work
354,2,male,17,child,single,yes,4th grade,yes,,agriculture
354,3,female,14,child,single,yes,2nd grade,no,student,
354,4,female,11,child,,yes,1st grade,no,student,
354,5,female,8,child,,yes,did not complete any schooling,yes,,livestock
355,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
355,2,female,30,spouse,married,yes,4th grade,yes,,household work
355,3,male,12,child,single,yes,did not complete any schooling,yes,,agriculture
355,4,female,9,child,,yes,3rd grade,no,student,
355,5,male,7,child,,yes,1st grade,no,student,
355,6,male,3,child,,no,,,,
355,7,male,0,child,,no,,,,
356,1,male,45,household head,married,yes,3rd grade,yes,,agriculture
356,2,female,38,spouse,married,yes,did not complete any schooling,yes,,household work
356,3,male,18,child,single,yes,did not complete any schooling,yes,,agriculture
356,4,female,15,child,single,yes,did not complete any schooling,yes,,household work
356,5,female,3,child,,no,,,,
356,6,male,14,child,single,yes,2nd grade,no,student,
356,7,female,1,child,,no,,,,
357,1,male,38,household head,married,yes,2nd grade,yes,,agriculture
357,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
357,3,female,9,child,,yes,2nd grade,no,student,
357,4,female,7,child,,yes,1st grade,no,student,
357,5,male,5,child,,yes,did not complete any schooling,no,too young,
357,6,male,2,child,,no,,,,
358,1,male,40,household head,married,yes,5th grade,yes,,agriculture
358,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
358,3,female,17,child,single,yes,10nth grade,yes,,household work
358,4,male,15,child,single,yes,5th grade,no,student,
358,5,female,11,child,,yes,3rd grade,no,student,
358,6,female,9,child,,yes,2nd grade,no,student,
358,7,male,7,child,,yes,did not complete any schooling,yes,,livestock
358,8,male,5,child,,yes,did not complete any schooling,no,too young,
358,9,female,0,child,,no,,,,
359,1,male,45,household head,married,yes,4th grade,yes,,agriculture
359,2,female,30,spouse,married,yes,6th grade,yes,,household work
359,3,male,20,child,single,yes,8th grade,yes,,agriculture
359,4,male,16,child,single,yes,8th grade,no,student,
359,5,female,14,child,single,yes,6th grade,no,student,
359,6,male,11,child,,yes,did not complete any schooling,yes,,livestock
359,7,female,10,child,,yes,1st grade,no,student,
359,8,female,8,child,,yes,did not complete any schooling,yes,,livestock
359,9,female,7,child,,yes,did not complete any schooling,yes,,livestock
31,1,male,36,household head,married,yes,4th grade,yes,,agriculture
31,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
31,3,female,16,child,single,yes,6th grade,yes,,household work
31,4,male,10,child,,yes,some church/mosque school,no,too young,
31,5,female,7,child,,yes,1st grade,no,too young,
31,6,male,5,child,,yes,did not complete any schooling,no,too young,
32,1,male,27,household head,married,yes,did not complete any schooling,yes,,agriculture
32,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
32,3,female,10,child,,yes,2nd grade,no,student,
32,4,male,3,child,,no,,,,
33,1,male,32,household head,married,yes,did not complete any schooling,yes,,agriculture
33,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
33,3,male,9,child,,yes,2nd grade,no,student,
33,4,male,6,child,,yes,did not complete any schooling,no,too young,
34,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
34,2,female,25,spouse,married,yes,2nd grade,yes,,household work
34,3,male,7,child,,yes,did not complete any schooling,no,too young,
34,4,female,0,child,,no,,,,
35,1,male,64,household head,married,yes,did not complete any schooling,yes,,agriculture
35,2,female,52,spouse,married,yes,did not complete any schooling,yes,,household work
35,3,male,27,child,single,yes,did not complete any schooling,yes,,agriculture
35,4,female,18,child,single,yes,10nth grade,no,student,
35,5,male,15,child,single,yes,some church/mosque school,no,student,
35,6,male,14,child,single,yes,6th grade,no,student,
35,7,male,14,child,single,yes,5th grade,no,student,
35,8,female,9,child,,yes,did not complete any schooling,no,too young,
36,1,male,30,household head,married,yes,some church/mosque school,yes,,agriculture
36,2,female,27,spouse,married,yes,did not complete any schooling,yes,,household work
36,3,female,12,child,single,yes,3rd grade,no,too young,
36,4,male,6,child,,yes,other,no,too young,
36,5,female,3,child,,no,,,,
121,1,male,52,household head,married,yes,adult literacy program,yes,,agriculture
121,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
121,3,female,18,child,single,yes,7th grade,yes,,student
121,4,female,13,child,single,yes,6th grade,yes,,student
121,5,male,3,child,single,yes,5th grade,yes,,student
121,6,male,16,not related,single,yes,did not complete any schooling,yes,,agriculture
122,1,male,38,household head,married,yes,other literacy program,yes,,agriculture
122,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
122,3,male,14,child,single,yes,2nd grade,yes,,student
122,4,male,9,child,,yes,2nd grade,yes,,student
122,5,female,6,child,,yes,did not complete any schooling,no,too young,
122,6,male,0,child,,no,,,,
123,1,male,55,household head,married,yes,other literacy program,yes,,agriculture
123,2,female,40,spouse,married,yes,other literacy program,yes,,household work
123,3,male,31,child,single,yes,10nth grade,yes,,agriculture
123,4,male,10,child,,yes,4th grade,yes,,student
123,5,female,7,child,,yes,1st grade,yes,,student
123,101,female,18,child,single,yes,11th grade,yes,,student
123,102,male,14,child,single,yes,9th grade,yes,,student
124,1,male,60,household head,married,yes,other literacy program,yes,,agriculture
124,2,female,47,spouse,married,yes,other literacy program,yes,,household work
124,3,male,22,child,single,yes,1st grade,yes,,student
124,4,male,19,child,single,yes,2nd grade,yes,,student
124,5,male,3,grandchild,,yes,6th grade,yes,,student
124,6,male,3,grandchild,,yes,2nd grade,yes,,student
124,7,male,7,child,,yes,did not complete any schooling,no,too young,
124,101,male,17,child,single,yes,7th grade,yes,,student
124,102,male,10,child,,yes,2nd grade,yes,,student
125,1,male,44,household head,married,yes,did not complete any schooling,yes,,agriculture
125,2,female,42,spouse,married,yes,did not complete any schooling,yes,,household work
125,3,female,17,child,single,yes,8th grade,yes,,agriculture
125,4,male,11,child,,yes,did not complete any schooling,yes,,agriculture
125,5,male,8,child,,yes,did not complete any schooling,yes,,agriculture
125,6,male,6,child,,yes,did not complete any schooling,no,too young,
125,7,female,1,child,,no,,,,
126,1,male,67,household head,married,yes,other literacy program,yes,,agriculture
126,2,female,54,spouse,married,yes,other literacy program,yes,,household work
126,3,male,29,child,single,yes,8th grade,yes,,student
126,4,male,9,child,,yes,2nd grade,yes,,student
127,1,male,45,household head,married,yes,other literacy program,yes,,agriculture
127,2,female,33,spouse,married,yes,other literacy program,yes,,household work
127,3,female,14,child,single,yes,5th grade,yes,,student
127,4,male,12,child,single,yes,4th grade,yes,,student
127,5,male,11,child,,yes,4th grade,yes,,student
127,6,female,9,child,,yes,3rd grade,yes,,student
127,7,male,7,child,,yes,1st grade,yes,,student
127,8,male,0,child,,no,,,,
127,9,female,18,child,single,yes,3rd grade,yes,,household work
129,1,male,56,household head,married,yes,5th grade,yes,,agriculture
129,2,female,43,spouse,married,yes,other literacy program,yes,,household work
129,3,female,18,child,single,yes,9th grade,yes,,student
129,4,female,16,child,single,yes,12th grade,yes,,student
129,5,male,14,child,single,yes,8th grade,yes,,student
129,6,male,12,child,single,yes,6th grade,yes,,student
129,7,male,9,child,,yes,3rd grade,yes,,student
129,8,female,6,child,,yes,did not complete any schooling,no,too young,
129,101,female,18,child,single,yes,10nth grade,yes,,student
130,1,female,45,household head,married,yes,3rd grade,yes,,household work
130,2,male,73,spouse,married,yes,did not complete any schooling,yes,,agriculture
130,3,male,7,child,,yes,did not complete any schooling,no,too young,
130,4,male,24,child,married,yes,did not complete any schooling,yes,,agriculture
130,5,male,3,grandchild,,no,,,,
130,6,female,20,sibling,married,yes,5th grade,yes,,household work
131,1,male,45,household head,married,yes,did not complete any schooling,yes,,agriculture
131,2,female,32,spouse,married,yes,did not complete any schooling,yes,,household work
131,3,female,14,child,single,yes,7th grade,yes,,student
131,4,female,7,child,,yes,did not complete any schooling,no,too young,
131,5,female,2,child,,no,,,,
131,6,male,0,child,,no,,,,
131,7,male,15,other relation,single,yes,2nd grade,yes,,student
131,8,male,9,other relation,,yes,did not complete any schooling,yes,,livestock
131,9,male,35,other relation,single,yes,did not complete any schooling,yes,,agriculture
131,10,male,40,not related,single,yes,did not complete any schooling,yes,,agriculture
132,1,male,67,household head,married,yes,did not complete any schooling,yes,,agriculture
132,2,female,56,spouse,married,yes,did not complete any schooling,yes,,household work
132,3,male,30,child,single,yes,10nth grade,yes,,agriculture
132,4,female,17,child,single,yes,10nth grade,yes,,household work
132,5,male,4,other relation,,no,,,,
132,6,male,6,grandchild,,yes,did not complete any schooling,no,too young,
132,101,female,18,child,single,yes,10nth grade,yes,,student
133,1,female,60,household head,divorced,yes,did not complete any schooling,yes,,agriculture
133,2,female,18,child,single,yes,9th grade,yes,,student
133,3,female,9,grandchild,,yes,2nd grade,yes,,student
134,1,male,43,household head,married,yes,other literacy program,yes,,agriculture
134,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
134,3,male,22,child,single,yes,4th grade,yes,,agriculture
134,4,female,17,child,single,yes,6th grade,yes,,student
134,5,male,15,child,single,yes,6th grade,yes,,student
134,6,male,12,child,single,yes,2nd grade,yes,,student
134,7,male,10,child,,yes,1st grade,yes,,student
134,8,female,8,child,,yes,1st grade,yes,,student
134,9,female,4,child,,no,,,,
135,1,male,56,household head,married,yes,3rd grade,yes,,agriculture
135,2,female,48,spouse,married,yes,2nd grade,yes,,household work
135,3,female,10,child,,yes,4th grade,yes,,student
135,101,female,18,child,single,yes,9th grade,yes,,student
135,102,male,15,child,single,yes,8th grade,yes,,student
136,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
136,2,female,28,spouse,married,yes,2nd grade,yes,,household work
136,3,female,3,child,,no,,,,
136,4,male,1,child,,no,,,,
137,1,male,37,household head,married,yes,did not complete any schooling,yes,,agriculture
137,2,female,28,spouse,married,yes,5th grade,yes,,household work
137,3,male,15,child,single,yes,1st grade,yes,,student
137,4,female,9,child,,yes,did not complete any schooling,yes,,household work
137,5,female,6,child,,yes,did not complete any schooling,yes,,household work
137,6,male,0,child,,no,,,,
138,1,male,32,household head,married,yes,3rd grade,yes,,agriculture
138,2,female,23,spouse,married,yes,did not complete any schooling,yes,,household work
138,3,female,2,child,,no,,,,
139,1,male,48,household head,married,yes,5th grade,yes,,agriculture
139,2,female,41,spouse,married,yes,3rd grade,yes,,household work
139,3,male,19,child,single,yes,3rd grade,yes,,student
139,4,male,15,child,single,yes,4th grade,yes,,student
139,5,female,12,child,single,yes,4th grade,yes,,student
139,6,female,10,child,,yes,3rd grade,yes,,student
139,7,male,5,child,,yes,did not complete any schooling,no,too young,
139,8,female,0,child,,no,,,,
139,101,female,17,child,single,yes,12th grade,yes,,student
140,1,male,26,household head,married,yes,5th grade,yes,,agriculture
140,2,female,19,spouse,married,yes,4th grade,yes,,household work
140,3,female,0,child,,no,,,,
141,1,male,28,household head,married,yes,2nd grade,yes,,agriculture
141,2,female,20,spouse,married,yes,did not complete any schooling,yes,,household work
141,3,female,0,child,,no,,,,
142,1,male,49,household head,married,yes,2nd grade,yes,,agriculture
142,2,female,45,spouse,married,yes,2nd grade,yes,,household work
142,3,male,25,child,single,yes,6th grade,yes,,agriculture
142,4,female,23,child,single,yes,6th grade,yes,,agriculture
142,5,male,21,child,single,yes,6th grade,yes,,agriculture
142,6,female,15,child,single,yes,6th grade,yes,,student
142,7,male,12,child,single,yes,6th grade,yes,,student
142,8,female,10,child,,yes,4th grade,yes,,student
142,9,female,8,child,,yes,2nd grade,no,too young,
143,1,male,22,household head,married,yes,did not complete any schooling,yes,,agriculture
143,2,female,18,spouse,married,yes,2nd grade,yes,,household work
144,1,male,47,household head,married,yes,3rd grade,yes,,agriculture
144,2,female,40,spouse,married,yes,2nd grade,yes,,household work
144,3,male,14,child,single,yes,1st grade,yes,,household work
144,4,male,12,child,single,yes,1st grade,yes,,student
144,5,male,8,child,,yes,1st grade,yes,,student
144,6,male,15,child,single,yes,8th grade,yes,,student
145,1,male,57,household head,married,yes,4th grade,yes,,agriculture
145,2,female,45,spouse,married,yes,other literacy program,yes,,household work
145,3,male,13,child,single,yes,6th grade,yes,,student
145,101,female,18,child,single,yes,10nth grade,yes,,student
145,102,male,16,child,single,yes,10nth grade,yes,,student
146,1,male,42,household head,married,yes,10nth grade,yes,,agriculture
146,2,female,30,spouse,married,yes,9th grade,yes,,household work
146,3,female,17,child,single,yes,8th grade,yes,,student
146,4,female,3,child,,no,,,,
146,5,male,25,not related,single,yes,did not complete any schooling,yes,,agricultural wage labor
147,1,male,22,household head,single,yes,4th grade,yes,,agriculture
148,1,male,64,household head,married,yes,did not complete any schooling,yes,,agriculture
148,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
148,3,male,29,child,single,yes,10nth grade,yes,,agriculture
148,4,male,25,child,single,yes,10nth grade,yes,,agriculture
148,5,male,16,child,single,yes,6th grade,yes,,student
149,1,male,24,household head,single,yes,8th grade,yes,,agriculture
149,2,male,26,other relation,single,yes,7th grade,yes,,agriculture
150,1,male,79,household head,married,yes,did not complete any schooling,yes,,agriculture
150,2,female,65,spouse,married,yes,did not complete any schooling,yes,,household work
150,3,female,35,not related,divorced,yes,6th grade,yes,,agriculture
150,4,male,10,not related,,yes,did not complete any schooling,no,too young,
150,5,female,4,not related,,no,,,,
151,1,male,45,household head,married,yes,12th grade,yes,,agriculture
151,2,female,28,spouse,married,yes,6th grade,yes,,household work
151,3,female,0,child,,no,,,,
151,4,female,72,parent,widowed,yes,did not complete any schooling,no,too old,
151,5,female,14,not related,single,yes,2nd grade,yes,,student
151,6,female,20,not related,single,yes,did not complete any schooling,no,sick,
152,1,male,28,household head,married,yes,3rd grade,yes,,agriculture
152,2,female,27,spouse,married,yes,3rd grade,yes,,household work
152,3,male,7,child,,yes,did not complete any schooling,no,too young,
152,4,female,3,child,,no,,,,
152,5,male,20,not related,single,yes,7th grade,yes,,agriculture
153,1,male,38,household head,married,yes,6th grade,yes,,agriculture
153,2,female,36,spouse,married,yes,did not complete any schooling,yes,,household work
153,3,male,7,child,,yes,2nd grade,yes,,student
153,4,female,10,child,,yes,4th grade,yes,,student
153,5,female,4,child,,no,,,,
154,1,male,68,household head,married,yes,did not complete any schooling,yes,,agriculture
154,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
154,3,male,23,other relation,single,yes,4th grade,yes,,agriculture
154,4,male,11,other relation,,yes,did not complete any schooling,yes,,livestock
154,5,female,4,other relation,,no,,,,
155,1,male,35,household head,married,yes,4th grade,yes,,agriculture
155,2,female,29,spouse,married,yes,4th grade,yes,,household work
155,3,female,14,child,single,yes,6th grade,yes,,student
155,4,female,12,child,single,yes,3rd grade,yes,,student
155,5,female,8,child,,yes,did not complete any schooling,no,too young,
156,1,male,65,household head,married,yes,did not complete any schooling,yes,,agriculture
156,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
156,101,male,18,child,single,yes,10nth grade,yes,,student
156,102,female,16,child,single,yes,8th grade,yes,,student
156,103,female,14,child,single,yes,8th grade,yes,,student
157,1,male,23,household head,married,yes,6th grade,yes,,agriculture
157,2,female,18,spouse,married,yes,4th grade,yes,,household work
158,1,male,75,household head,married,yes,other literacy program,no,too old,
158,2,female,55,spouse,married,yes,other literacy program,yes,,household work
158,3,male,16,other relation,single,yes,did not complete any schooling,yes,,agriculture
158,4,female,50,not related,divorced,yes,did not complete any schooling,yes,,household work
159,1,male,41,household head,married,yes,other literacy program,yes,,agriculture
159,2,female,38,spouse,married,yes,other literacy program,yes,,household work
159,3,female,9,child,,yes,3rd grade,yes,,student
159,4,male,6,child,,yes,did not complete any schooling,no,too young,
159,5,female,4,child,,no,,,,
159,6,female,1,child,,no,,,,
160,1,male,67,household head,married,yes,did not complete any schooling,yes,,agriculture
160,2,female,42,spouse,married,yes,did not complete any schooling,yes,,household work
160,3,male,20,child,single,yes,did not complete any schooling,yes,,household work
160,4,male,18,child,single,yes,did not complete any schooling,yes,,household work
160,5,male,9,child,,yes,2nd grade,yes,,student
160,6,male,7,child,,yes,did not complete any schooling,no,too young,
160,7,male,14,child,single,yes,2nd grade,yes,,student
160,101,female,17,child,single,yes,9th grade,yes,,student
160,102,female,12,child,single,yes,3rd grade,yes,,student
161,1,male,57,household head,married,yes,did not complete any schooling,yes,,agriculture
161,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
161,3,female,16,child,single,yes,4th grade,yes,,agriculture
161,4,female,14,child,single,yes,3rd grade,yes,,household work
161,5,female,10,child,,yes,1st grade,yes,,student
161,6,male,12,child,single,yes,did not complete any schooling,yes,,livestock
162,1,male,32,household head,married,yes,10nth grade,yes,,agriculture
162,2,female,34,spouse,married,yes,6th grade,yes,,household work
162,3,male,16,child,single,yes,1st grade,yes,,agriculture
162,4,male,9,child,,yes,did not complete any schooling,no,too young,
162,5,male,6,child,,yes,did not complete any schooling,no,too young,
162,6,female,4,child,,no,,,,
162,7,male,2,child,,no,,,,
163,1,male,39,household head,married,yes,2nd grade,yes,,agriculture
163,2,female,26,spouse,married,yes,did not complete any schooling,yes,,household work
163,3,female,11,child,,yes,1st grade,yes,,student
163,4,male,8,child,,yes,1st grade,yes,,student
163,5,female,6,child,,yes,did not complete any schooling,no,too young,
164,1,male,52,household head,married,yes,1st grade,yes,,agriculture
164,2,female,44,spouse,married,yes,did not complete any schooling,yes,,household work
164,3,male,15,child,single,yes,6th grade,yes,,agriculture
164,4,male,12,child,single,yes,4th grade,yes,,agriculture
164,5,female,10,child,,yes,4th grade,yes,,household work
164,6,female,8,child,,yes,2nd grade,yes,,household work
164,7,male,6,child,,yes,did not complete any schooling,no,too young,
164,101,female,18,child,single,yes,9th grade,yes,,student
164,102,male,17,child,single,yes,7th grade,yes,,student
165,1,male,77,household head,married,yes,did not complete any schooling,yes,,agriculture
165,2,female,60,spouse,married,yes,did not complete any schooling,yes,,household work
165,3,male,23,child,single,yes,did not complete any schooling,yes,,agriculture
165,1,female,3,grandchild,,yes,did not complete any schooling,yes,,agriculture
165,5,female,10,grandparent,,yes,2nd grade,yes,,student
166,1,male,50,household head,married,yes,4th grade,yes,,agriculture
166,2,female,45,spouse,married,yes,3rd grade,yes,,household work
166,3,male,16,child,single,yes,5th grade,yes,,student
166,4,male,12,child,single,yes,3rd grade,yes,,student
166,5,male,25,not related,single,yes,did not complete any schooling,yes,,agriculture
166,101,female,18,child,single,yes,8th grade,yes,,student
166,102,female,10,child,,yes,1st grade,yes,,student
167,1,female,56,household head,divorced,yes,did not complete any schooling,yes,,household work
167,2,male,20,child,single,yes,did not complete any schooling,yes,,agriculture
167,3,female,10,grandparent,,yes,2nd grade,yes,,student
167,4,female,6,grandparent,,yes,did not complete any schooling,no,too young,
168,1,male,50,household head,married,yes,did not complete any schooling,yes,,agriculture
168,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
168,3,female,12,child,single,yes,did not complete any schooling,no,too young,
168,4,female,5,child,,yes,did not complete any schooling,no,too young,
169,1,male,38,household head,married,yes,did not complete any schooling,yes,,agriculture
169,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
169,3,female,14,child,single,yes,8th grade,yes,,student
169,4,male,12,child,single,yes,6th grade,yes,,student
170,1,male,41,household head,married,yes,7th grade,yes,,agriculture
170,2,female,36,spouse,married,yes,7th grade,yes,,household work
170,3,male,16,child,single,yes,5th grade,yes,,student
170,4,female,13,child,single,yes,5th grade,yes,,student
170,5,female,10,child,,yes,1st grade,yes,,student
170,6,female,8,child,,yes,1st grade,yes,,student
170,7,male,4,child,,no,,,,
170,101,male,18,child,single,yes,10nth grade,yes,,student
171,1,male,33,household head,married,yes,2nd grade,yes,,agriculture
171,2,female,28,spouse,married,yes,4th grade,yes,,household work
171,3,female,9,child,,yes,2nd grade,yes,,student
171,4,male,2,child,,no,,,,
172,1,male,27,household head,married,yes,6th grade,yes,,agriculture
172,2,female,18,spouse,married,yes,5th grade,yes,,household work
173,1,male,47,household head,married,yes,2nd grade,yes,,agriculture
173,2,female,39,spouse,married,yes,did not complete any schooling,yes,,household work
173,3,male,18,child,single,yes,7th grade,yes,,student
173,4,male,16,child,single,yes,4th grade,yes,,student
173,5,male,14,child,single,yes,1st grade,yes,,student
173,6,female,5,child,,yes,did not complete any schooling,no,too young,
173,7,female,2,child,,no,,,,
174,1,male,33,household head,married,yes,did not complete any schooling,yes,,agriculture
174,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
174,3,male,10,child,,yes,3rd grade,yes,,household work
174,4,male,8,child,,yes,2nd grade,yes,,household work
174,5,female,6,child,,yes,did not complete any schooling,no,too young,
174,6,male,5,child,,yes,did not complete any schooling,no,too young,
174,7,male,4,child,,no,,,,
175,1,male,64,household head,married,yes,did not complete any schooling,yes,,agriculture
175,2,female,40,spouse,married,yes,3rd grade,yes,,household work
175,3,male,8,child,,yes,did not complete any schooling,no,too young,
175,4,male,15,child,married,yes,5th grade,yes,,student
175,5,male,11,child,,yes,3rd grade,yes,,student
175,6,male,6,child,,yes,did not complete any schooling,no,too young,
175,7,male,3,child,,no,,,,
175,8,male,3,child,,no,,,,
