hhid,sectionc1,sectionc2a,sectionc2b,sectionc2c,sectionc3,sectionc4,sectionc5,sectionc6,sectionc7,sectionc8,sectionc9a,sectionc9b,sectionc10,sectionc11,sectionc12,sectionc13
357,1,2,kert,.5,lem-teuf,15,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
357,2,1,kert,.25,lem,15,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
357,3,2,kert,.5,lem-teuf,20,rain,1,"no, we rent it from others",,,,,1000,annual crop,1
357,4,2,kert,.5,teuf,20,rain,1,"no, we rent it from others",,,,,1000,annual crop,1
358,1,7,kert,1.75,lem-teuf,12,rain,20,yes,inherited,yes,yes,,,annual crop,1
358,2,2,kert,.5,teuf,5,rain,5,yes,inherited,yes,yes,,,annual crop,1
358,3,1,kert,.25,teuf,5,rain,5,yes,allocated by family,yes,yes,,,annual crop,1
358,4,1,kert,.25,teuf,10,rain,5,yes,allocated by family,yes,yes,,,annual crop,1
358,5,2,kert,.5,lem-teuf,5,rain,5,yes,allocated by family,yes,yes,,,annual crop,1
358,6,1,kert,.25,lem-teuf,15,rain,5,yes,allocated by family,yes,yes,,,annual crop,1
359,1,5,kert,1.5,lem,40,rain,25,yes,inherited,yes,yes,,,annual crop,1
359,2,3,kert,.75,lem-teuf,60,rain,20,yes,inherited,yes,yes,,,annual crop,1
31,1,2,gezem,.25,lem-teuf,30,rain,16,yes,allocated by government,yes,yes,,,annual crop,1
31,2,4,gezem,.5,lem-teuf,20,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
31,3,5,gezem,.625,lem,20,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
31,4,3,gezem,.375,lem-teuf,15,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
31,5,2,gezem,.25,lem-teuf,15,rain,4,"no, we share-cropped in",,,,.5,not available,annual crop,1
32,1,2,timad,.5,lem,30,rain,10,"no, we share-cropped in",,,,.5,not available,annual crop,1
32,2,1,timad,.25,lem-teuf,60,rain,10,"no, we share-cropped in",,,,.5,not available,annual crop,1
32,3,2,timad,.5,lem-teuf,15,rain,10,yes,allocated by family,yes,yes,,,annual crop,1
32,4,1,timad,.25,lem,15,rain,6,"no, we share-cropped in",,,,.5,not available,annual crop,1
33,1,1,timad,.25,lem,0,rain,16,yes,allocated by government,yes,yes,,,annual crop,1
33,2,1,timad,.25,lem,0,rain,16,"no, we share-cropped in",,,,.5,not available,annual crop,1
33,3,.5,timad,.125,lem,0,rain,16,yes,allocated by family,yes,yes,,,annual crop,1
34,1,3,gezem,.375,lem,0,rain,16,yes,allocated by family,yes,yes,,,annual crop,1
34,2,2,gezem,.25,lem,60,rain,1,"no, we share-cropped in",,,,.5,not available,annual crop,1
34,3,1,gezem,.125,lem,0,rain,16,yes,allocated by family,yes,yes,,,annual crop,1
35,1,1.5,timad,.375,lem-teuf,0,rain,45,yes,allocated by government,yes,yes,,,annual crop,1
35,2,2.5,timad,.625,lem,0,rain,45,yes,allocated by government,yes,yes,,,annual crop,1
35,3,2,timad,.5,lem,15,rain,2,"no, we share-cropped in",,,,.5,not available,annual crop,1
35,4,1,timad,.25,lem-teuf,0,rain,6,"no, we share-cropped in",,,,.5,not available,annual crop,1
35,5,.5,timad,.125,lem-teuf,0,rain,45,"no, we share-cropped in",,,,.5,not available,annual crop,1
36,1,.5,timad,.125,lem,30,rain,7,yes,inherited,yes,yes,,,annual crop,1
36,2,1,timad,.25,lem,15,rain,7,yes,inherited,yes,yes,,,annual crop,1
36,3,.5,timad,.125,teuf,0,rain,7,yes,inherited,yes,yes,,,annual crop,1
36,4,.5,timad,.125,teuf,30,rain,7,"no, we borrow at no cost",,,,,,annual crop,1
121,1,.5,kert,.125,lem-teuf,0,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
121,2,.5,kert,.125,lem-teuf,10,rain,28,yes,allocated by government,yes,yes,,,annual crop,1
121,3,3,kert,.75,lem-teuf,30,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
121,4,11.5,kert,2.875,lem-teuf,30,rain,27,yes,allocated by government,yes,yes,,,annual crop,1
121,5,3,kert,.75,lem,60,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
121,6,1,kert,.25,lem,60,both,8,yes,allocated by government,yes,yes,,,annual crop,2
121,7,1.5,kert,.375,lem-teuf,60,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
121,8,.5,kert,.125,lem,60,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
122,1,2,kert,.5,lem,10,rain,27,yes,inherited,"no, we rent it to others","no, we rent it to others",,1400,not available,not available
122,2,.5,kert,.125,lem,10,rain,25,yes,inherited,yes,yes,,,annual crop,1
122,3,1.5,kert,.375,lem-teuf,30,rain,9,yes,inherited,yes,yes,,,annual crop,1
122,4,2,kert,.5,lem,10,rain,1,"no, we rent it from others",,,,,1400,annual crop,1
123,1,2,kert,.5,lem,20,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
123,2,2,kert,.5,lem,20,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
123,3,1,kert,.25,lem-teuf,25,rain,38,yes,allocated by government,"no, we lent at no cost","no, we lent at no cost",,,not available,not available
123,4,1,kert,.25,lem-teuf,30,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
123,5,1.5,kert,.375,lem-teuf,30,rain,30,yes,allocated by government,yes,yes,,,annual crop,1
123,6,2,kert,.5,lem,30,rain,2,"no, we rent it from others",,,,,6000,annual crop,1
123,7,1.5,kert,.375,lem-teuf,10,rain,2,"no, we rent it from others",,,,,4500,annual crop,1
124,1,3.5,kert,.875,lem-teuf,5,rain,36,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,5150,not available,
124,2,1,kert,.25,lem-teuf,5,rain,36,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,1250,not available,
124,3,1.5,kert,.375,lem-teuf,20,rain,36,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,1000,not available,
124,4,2.5,kert,.625,lem-teuf,25,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
124,5,1,kert,.625,lem-teuf,25,rain,36,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,900,not available,
124,6,.5,kert,.125,lem,10,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
124,7,1,kert,.25,lem,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
124,8,.5,kert,.125,lem,5,rain,36,yes,allocated by government,yes,yes,,,annual crop,1
125,1,1.5,kert,.375,lem,1,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
125,2,.5,kert,.125,lem,2,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
125,3,1,kert,.25,lem,10,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
125,4,2.5,kert,.625,lem,10,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
125,5,2,kert,.5,lem,10,rain,29,yes,allocated by government,yes,yes,,,annual crop,1
125,6,3,kert,.75,lem-teuf,60,rain,29,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,1000,not available,
125,7,2,kert,.5,lem-teuf,60,rain,29,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,1000,not available,
125,8,1,kert,.25,lem,60,rain,29,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,300,not available,
126,1,.75,kert,.1875,lem-teuf,5,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
126,2,3,kert,.75,lem,30,rain,32,yes,allocated by government,yes,yes,,,annual crop,1
126,3,2,kert,.5,lem-teuf,60,rain,32,yes,allocated by government,"no, we rent it to others","no, we rent it to others",,1800,not available,
127,1,1.5,kert,.375,lem,2,rain,27,yes,allocated by government,yes,yes,,,multiple uses,
127,2,1,kert,.25,lem,15,rain,27,yes,allocated by government,yes,yes,,,annual crop,1
127,3,.5,kert,.125,lem,30,rain,27,yes,allocated by government,yes,yes,,,annual crop,1
127,4,8,kert,2,lem,75,rain,27,yes,allocated by government,yes,yes,,,annual crop,1
127,5,2,kert,.5,lem,75,rain,27,yes,inherited,yes,yes,,,annual crop,1
127,6,2,kert,.5,lem,40,rain,7,"no, we rent it from others",,,,,1600,annual crop,1
127,7,2,kert,.5,lem-teuf,40,rain,7,"no, we rent it from others",,,,,1600,annual crop,1
127,8,2,kert,.5,lem,5,rain,4,"no, we rent it from others",,,,,1600,annual crop,1
127,9,2,kert,.5,lem,5,rain,4,"no, we rent it from others",,,,,1600,annual crop,1
127,10,2,kert,.5,lem-teuf,75,rain,7,"no, we rent it from others",,,,,1600,annual crop,1
127,11,2,kert,.5,lem-teuf,75,rain,7,"no, we rent it from others",,,,,1600,annual crop,1
127,12,4,kert,1,lem-teuf,75,rain,7,"no, we rent it from others",,,,,3200,annual crop,1
129,1,1,kert,.25,lem,0,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
129,2,1,kert,.25,lem-teuf,10,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
129,3,1.5,kert,.375,lem-teuf,30,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
129,4,4,kert,1,lem,20,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
129,5,2,kert,.5,lem-teuf,15,rain,35,yes,allocated by government,yes,yes,,,annual crop,1
129,6,3,kert,.75,teuf,60,rain,6,"no, we rent it from others",,,,,3900,annual crop,1
129,7,1,kert,.25,lem-teuf,90,rain,4,"no, we rent it from others",,,,,2000,annual crop,1
129,8,.75,kert,.1875,lem-teuf,15,rain,4,"no, we rent it from others",,,,,700,annual crop,1
129,9,1,kert,.25,lem-teuf,90,rain,5,"no, we rent it from others",,,,,1250,annual crop,1
129,10,1,kert,.25,lem-teuf,120,rain,7,"no, we rent it from others",,,,,1150,annual crop,1
129,11,1,kert,.25,lem,0,rain,35,yes,allocated by government,yes,yes,,,perennial crops,
130,1,2,kert,.5,lem,0,rain,8,yes,inherited,yes,yes,,,annual crop,1
130,2,2,kert,.5,lem,3,rain,8,yes,inherited,yes,yes,,,annual crop,1
130,3,4,kert,1,lem,40,rain,2,"no, we rent it from others",,,,,1600,annual crop,1
130,4,1,kert,.25,lem,40,rain,2,"no, we rent it from others",,,,,500,annual crop,1
131,1,1,kert,.25,lem,2,rain,23,yes,allocated by government,yes,yes,,,annual crop,1
131,2,4,kert,1,lem,10,rain,23,yes,allocated by government,yes,yes,,,annual crop,1
131,3,5,kert,1.25,lem-teuf,30,irrigation,23,yes,allocated by government,yes,yes,,,annual crop,1
131,4,3,kert,.75,lem-teuf,30,rain,23,yes,allocated by government,yes,yes,,,annual crop,1
131,5,2,kert,.5,lem-teuf,30,rain,3,yes,inherited,yes,yes,,,annual crop,1
131,6,2,kert,.5,lem-teuf,30,rain,3,yes,inherited,yes,yes,,,annual crop,1
131,7,2,kert,.5,lem-teuf,30,rain,3,yes,inherited,yes,yes,,,annual crop,1
131,8,2,kert,.5,lem-teuf,40,rain,3,yes,inherited,yes,yes,,,annual crop,1
131,9,2,kert,.5,lem-teuf,60,rain,3,yes,inherited,"no, we rent it to others","no, we rent it to others",,400,annual crop,1
132,1,1.5,kert,.375,lem-teuf,0,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,2,1.5,kert,.375,lem,30,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,3,1.5,kert,.375,lem,0,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,4,1,kert,.25,lem,15,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,5,1.5,kert,.375,lem-teuf,15,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,6,1,kert,.25,lem,15,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,7,1,kert,.25,lem-teuf,40,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
132,8,2,kert,.5,lem-teuf,60,rain,5,"no, we rent it from others",,,,,900,annual crop,1
133,1,1,kert,.25,lem-teuf,0,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
133,2,3,kert,.75,lem-teuf,5,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
133,3,4,kert,1,lem,120,rain,15,yes,allocated by family,yes,yes,,,annual crop,1
134,1,1,kert,.25,lem,0,rain,25,yes,inherited,yes,yes,,,annual crop,1
134,2,1,kert,.25,lem-teuf,5,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,3,1,kert,.25,lem-teuf,5,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,4,1,kert,.25,lem-teuf,5,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,5,1,kert,.25,lem-teuf,5,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,6,1,kert,.25,lem-teuf,30,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,7,1,kert,.25,lem,10,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,8,1,kert,.25,lem,10,rain,26,yes,allocated by government,yes,yes,,,annual crop,1
134,9,1,kert,.25,lem,10,rain,26,yes,allocated by government,"no, we lent at no cost","no, we lent at no cost",,,not available,
134,10,1,kert,.25,lem-teuf,5,rain,26,yes,allocated by government,"no, we lent at no cost","no, we lent at no cost",,,not available,
134,11,6,kert,1.5,teuf,5,rain,26,yes,allocated by government,yes,yes,,,livestock/grazing,
135,1,8,kert,2,lem,20,rain,38,yes,allocated by government,yes,yes,,,annual crop,1
135,2,8,kert,2,lem,20,rain,10,"no, we rent it from others",,,,,17600,annual crop,1
136,1,1,kert,.25,lem,5,rain,3,"no, we rent it from others",,,,,2000,annual crop,1
136,2,.5,kert,.125,lem,30,rain,11,yes,inherited,yes,yes,,,annual crop,1
137,1,1,kert,.25,lem,5,rain,21,yes,allocated by family,yes,yes,,,annual crop,1
137,2,1,kert,.25,lem-teuf,10,rain,4,yes,allocated by government,yes,yes,,,annual crop,1
137,3,1.5,kert,.375,lem-teuf,30,rain,21,yes,allocated by family,yes,yes,,,annual crop,1
138,1,2,kert,.5,lem,30,rain,12,yes,inherited,yes,yes,,,annual crop,1
138,2,1,kert,.25,lem,15,rain,12,yes,inherited,yes,yes,,,annual crop,1
139,1,3,kert,.75,lem,1,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,2,1.25,kert,.31299999,lem,3,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,3,1,kert,.25,lem,15,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,4,3,kert,.75,lem,15,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,5,2.25,kert,.56300002,lem,30,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,6,2,kert,.5,lem,30,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,7,6,kert,1.5,lem,40,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
139,8,2,kert,.5,lem,60,rain,33,yes,allocated by government,yes,yes,,,annual crop,1
140,1,2,kert,.5,lem-teuf,6,rain,2,yes,inherited,yes,yes,,,annual crop,1
140,2,1,kert,.25,lem-teuf,6,rain,7,"no, we rent it from others",,,,,800,annual crop,1
140,3,1,kert,.25,lem-teuf,16,rain,5,"no, we rent it from others",,,,,800,annual crop,1
140,4,10,kert,2.5,lem,30,rain,7,"no, we rent it from others",,,,,9000,annual crop,1
140,5,4,kert,1,lem-teuf,30,rain,4,"no, we rent it from others",,,,,3200,annual crop,1
140,6,2,kert,.5,lem,30,rain,2,"no, we rent it from others",,,,,1800,annual crop,1
141,1,4,kert,1,lem,10,rain,2,"no, we rent it from others",,,,,2000,annual crop,1
141,2,2.5,kert,.625,lem,10,rain,2,"no, we rent it from others",,,,,2000,annual crop,1
