hhid,sectiong0,sectiong1,sectiong2,sectiong3a,sectiong3b,sectiong3c,sectiong4,sectiong5,sectiong6,sectiong7,sectiong8,sectiong9,sectiong10,sectiong11,sectiong12,sectiong13,sectiong14,sectiong15,sectiong16,sectiong17,sectiong18,sectiong19,sectiong20,sectiong21,sectiong22,sectiong23,sectiong24,sectiong25,sectiong26
10,4,1,yekatit,1,quintal,1,magna,cash,800,800,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,10,180,120,man,100,,no,,no,no,no,
10,4,3,miazia,1,quintal,1,magna,cash,900,900,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,10,180,120,man,100,,no,,no,no,no,
10,4,4,ginbot,1,quintal,1,magna,cash,1000,1000,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,1,own donkey,10,180,120,man,100,,no,,yes,no,no,
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,1,tahisas,2,quintal,2,white,cash,1400,700,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,yes,5,own and other donkeys,30,240,240,man,100,,no,,no,no,yes,yes
12,2,2,megabit,1,quintal,1,white,cash,1000,1000,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,0,240,180,man,100,,no,,no,no,yes,no
13,3,3,sene,2.5,quintal,2.5,white,cash,3250,1300,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,0,180,30,man,100,,no,,no,no,yes,no
13,3,2,ginbot,3,quintal,3,white,cash,3975,1325,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,0,180,30,man,100,,no,,no,no,yes,no
13,3,1,tahisas,3,quintal,3,white,cash,2880,960,cooperative,he is close by,cooperative,yes,no,,own and other donkeys,0,60,120,man,100,,no,,no,no,yes,no
14,2,1,ginbot,2,quintal,2,white,cash,2100,1050,at wholesale market: traveling trader going elsewhere,he gives higher prices,local(weekly) market,no,yes,1,own donkey,0,8,20,man,100,,no,,no,no,no,
14,2,2,nehase,1,quintal,1,white,cash,1260,1260,at wholesale market: traveling trader going elsewhere,he is close by,local(weekly) market,no,yes,2,own donkey,0,8,10,man,100,,no,,no,no,yes,no
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,5,meskerem,2,kilogrammes,2,white,cash,980,980,"trader with fixed shop, selling teff elsewhere",he is close by,local(weekly) market,no,no,,by foot,0,30,30,man,100,,no,,no,no,no,
17,1,1,tahisas,8,quintal,8,magna,cash,6240,780,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,own and other donkeys,60,30,60,man,100,,yes,yes,no,no,no,
17,1,2,tir,3,quintal,3,magna,cash,3600,1200,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,yes,2,own donkey,10,30,120,man,100,,yes,yes,no,no,no,
18,2,2,yekatit,1,quintal,1,white,cash,1000,1000,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,own and other donkeys,40,60,30,man,100,,no,,no,no,no,
18,2,1,tir,1,quintal,1,white,cash,900,900,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,own and other donkeys,30,60,30,man,100,,no,,no,no,no,
19,3,1,yekatit,2,quintal,2,white,cash,1600,800,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,20,120,360,man,100,,no,,no,,yes,yes
19,3,2,ginbot,4,quintal,4,white,cash,4400,1100,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,30,120,360,man,100,,no,,no,,yes,yes
19,3,3,nehase,2,quintal,2,white,cash,2600,1300,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,25,120,120,man,100,,no,,no,,yes,yes
20,1,1,tir,1.5,quintal,1.5,magna,cash,1080,720,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,yes,3,other donkeys,0,40,60,man,100,,no,,no,no,yes,no
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,1,tir,1,quintal,1,magna,cash,800,800,at wholesale market: traveling trader going to addis,the buyer  is a relative,trader shop (fixed),yes,no,,other donkeys,0,40,15,man,100,,no,,no,no,yes,no
23,2,2,yekatit,1,quintal,1,magna,cash,900,900,at wholesale market: traveling trader going to addis,the buyer  is a relative,trader shop (fixed),yes,no,,other donkeys,0,40,15,man,100,,no,,no,no,yes,no
24,1,1,yekatit,.5,quintal,.5,white,cash,500,1000,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,yes,3,own donkey,0,180,300,man,100,,no,,no,no,yes,no
25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,1,hidar,4,quintal,4,magna,cash,3840,960,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,no,,own donkey,0,40,30,man,0,15,no,,no,no,no,
26,3,3,sene,4,quintal,4,magna,cash,4800,1200,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,no,,own donkey,0,40,30,man,100,,no,,no,no,no,
26,3,2,tir,.5,quintal,.5,magna,cash,525,1050,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,no,,own donkey,0,40,30,man,100,,no,,no,no,no,
27,2,1,tir,1,quintal,1,magna,cash,800,800,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,own and other donkeys,30,120,180,man,100,,no,,no,no,yes,no
27,2,2,sene,2,quintal,2,magna,cash,2200,1100,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,own and other donkeys,10,120,120,man,100,,no,,no,no,yes,no
28,1,1,tahisas,1,big madaberia,.67000002,white,cash,600,895,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,no,,other donkeys,0,180,300,man,100,,no,,no,no,yes,yes
29,2,2,sene,.5,quintal,.5,magna,cash,600,1200,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,other donkeys,0,120,120,man,100,,no,,no,no,no,
29,2,1,tahisas,3,quintal,3,magna,cash,2640,880,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,other donkeys,0,120,120,man,100,,no,,no,no,no,
30,2,2,nehase,3,quintal,3,white,cash,3200,1100,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,20,120,120,man,100,,yes,yes,no,no,no,
30,2,1,tahisas,2,quintal,2,white,cash,2500,1250,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,20,120,60,man,100,,yes,yes,no,no,no,
31,3,3,nehase,3,big madaberia,1.55,magna,cash,2015,1300,at wholesale market: traveling trader going to addis,other :,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,60,man,100,,yes,yes,yes,no,no,
31,3,1,ginbot,5,big madaberia,2.5,magna,cash,3000,1200,at wholesale market: traveling trader going to addis,other :,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,60,man,100,,yes,yes,yes,no,no,
31,3,2,sene,6,big madaberia,3.8,magna,cash,4750,1250,at wholesale market: traveling trader going to addis,other :,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,60,man,100,,yes,yes,yes,no,no,
32,1,1,meskerem,2,quintal,2,white,cash,2550,1275,at wholesale market: traveling trader going to addis,he is close by,trader shop (fixed),yes,no,,own and other donkeys,0,60,30,man,100,,no,,no,no,no,
33,1,1,tir,3,small madaberia,1.5,white,cash,1650,1100,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,other donkeys,0,60,10,man,100,,no,,no,no,no,
34,1,1,yekatit,4,small madaberia,2,white,cash,1800,900,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,no,,own and other donkeys,25,60,120,man,100,,no,,no,no,yes,no
35,1,1,tir,2,small madaberia,1,white,cash,800,800,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,15,60,10,man,100,,no,,no,no,yes,no
36,1,1,nehase,3,quintal,3,white,cash,4050,1350,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own and other donkeys,40,60,15,man,100,,no,,no,no,yes,yes
37,2,1,sene,3,small madaberia,1.5,white,cash,1500,1000,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,6,own and other donkeys,10,180,60,man,100,,no,,no,no,no,
37,2,2,nehase,3,small madaberia,1.5,white,cash,1800,1200,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,7,own and other donkeys,20,180,60,man,100,,no,,no,no,no,
38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,2,ginbot,2,small madaberia,1,white,cash,850,850,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,10,180,60,man,100,,no,,no,no,no,
39,2,1,tir,2,small madaberia,1,white,cash,700,700,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own donkey,10,180,60,man,100,,no,,no,no,no,
40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,1,tir,1,small madaberia,.5,white,cash,480,960,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,no,,own donkey,8,120,15,man,100,,no,,no,no,no,
42,1,1,tir,3,small madaberia,1.5,white,cash,1425,950,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,6,own donkey,30,210,60,man,100,,no,,no,no,yes,no
43,1,1,meskerem,2,quintal,2,magna,cash,2700,1350,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,4,own donkey,0,20,15,mix,100,,no,,no,no,yes,no
44,2,1,tir,1,quintal,1,white,cash,1200,1200,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,4,other donkeys,0,80,10,man,100,,no,,no,no,yes,yes
44,2,2,yekatit,1,quintal,1,white,cash,1100,1100,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,4,other donkeys,0,80,30,man,100,,no,,no,no,yes,yes
45,2,2,hamle,2,quintal,2,white,cash,2000,1000,at wholesale market: traveling trader going to addis,the buyer  is a relative,trader shop (fixed),yes,no,,other donkeys,10,40,180,man,100,,no,,no,no,yes,no
45,2,1,sene,2,quintal,2,white,cash,2000,1000,at wholesale market: traveling trader going to addis,the buyer  is a relative,trader shop (fixed),yes,no,,other donkeys,10,40,180,man,100,,no,,no,no,yes,no
46,2,1,ginbot,2,quintal,2,white,cash,2300,1150,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,0,15,15,man,100,,no,,no,no,no,
46,2,2,sene,2,quintal,2,white,cash,2500,1250,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,0,15,15,woman,100,,no,,no,no,no,
47,1,1,sene,3,quintal,3,white,cash,3900,1300,farmer-trader in the village,there is no real difference with other traders,trader shop (fixed),yes,no,,own donkey,0,20,20,man,100,,yes,yes,no,no,yes,yes
48,1,1,tahisas,6,small madaberia,3,white,cash,3600,1200,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,30,30,60,man,100,,no,,no,no,no,
49,2,2,tir,5,big madaberia,2.5,magna,cash,2202,880,at wholesale market: traveling trader going to addis,the buyer  is a relative,trader shop (fixed),yes,no,,own and other donkeys,30,45,30,man,100,,yes,yes,no,no,no,
49,2,1,tahisas,4,big madaberia,2.5999999,magna,cash,2418,930,cooperative,he gives higher prices,cooperative,yes,no,,own donkey,0,0,30,man,100,,no,,yes,no,yes,no
50,2,2,miazia,1.5,quintal,1.5,white,cash,1800,1200,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,no,,own donkey,50,60,20,man,100,,no,,no,no,yes,no
50,2,1,tir,1.5,quintal,1.5,white,cash,1800,1200,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,no,,own donkey,50,60,20,man,100,,no,,no,no,yes,no
51,1,1,yekatit,2,small madaberia,1,white,cash,1250,1250,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,15,30,15,man,100,,no,,no,no,no,
52,1,1,yekatit,1,quintal,1,white,cash,650,650,"trader with fixed shop, selling teff to addis",i trust his weighing,trader shop (fixed),yes,yes,4,own donkey,0,60,60,man,100,,no,,no,no,yes,yes
53,1,1,yekatit,1,quintal,1,white,cash,850,850,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,0,60,60,man,100,,no,,no,no,yes,yes
54,2,1,tahisas,1,big madaberia,1.4,white,cash,don't know,don't know,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,own donkey,10,180,140,man,100,,no,,no,no,yes,yes
54,2,2,tir,2,big madaberia,1.4,white,cash,don't know,don't know,farmer-trader in the village,he is close by,local(weekly) market,yes,no,,own donkey,0,180,300,man,100,,no,,no,no,yes,yes
55,2,2,tir,1,small madaberia,.5,mix,cash,380,760,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,3,by foot,0,150,60,man,100,,no,,no,no,no,
55,2,1,tir,4,small madaberia,2,mix,cash,1400,700,consumer,the buyer  is a relative,on the farm or home,no,no,,by foot,0,5,5,woman,100,,no,,no,no,yes,yes
56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,3,hamle,2,small madaberia,1,white,cash,1250,1250,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,30,10,woman,100,,no,,no,no,yes,no
57,3,2,sene,2,small madaberia,1,white,cash,1250,1250,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,30,10,woman,100,,no,,no,no,yes,no
57,3,1,tir,2,small madaberia,1,white,cash,950,950,"trader with fixed shop, selling teff elsewhere",he gives higher prices,trader shop (fixed),yes,no,,own and other donkeys,15,30,10,man,100,,no,,no,no,yes,no
58,1,1,yekatit,2,small madaberia,1,white,cash,800,800,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,3,own donkey,15,180,60,man,100,,yes,no,no,no,no,
59,1,1,yekatit,8.3999996,quintal,8.3999996,magna,cash,6720,800,"trader with fixed shop, selling teff to addis",the buyer  is a relative,trader shop (fixed),yes,no,,other donkeys,10,30,20,man,100,,no,,no,no,no,
60,1,1,tahisas,4,small madaberia,2,white,cash,1800,900,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,yes,2,own and other donkeys,20,180,120,man,100,,no,,no,no,yes,no
61,2,1,yekatit,2.5,quintal,2.5,magna,cash,3040,1216,at wholesale market: traveling trader going to addis,there is no real difference with other traders,trader shop (fixed),yes,no,,own and other donkeys,0,70,20,man,100,,no,,no,no,no,
62,1,1,yekatit,1,small madaberia,.5,white,cash,430,860,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,10,120,10,man,100,,yes,yes,no,no,no,
63,2,2,miazia,.5,quintal,.5,white,cash,500,1000,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,no,,own donkey,2,180,30,man,100,,no,,no,no,yes,no
63,2,1,tir,.5,quintal,.5,white,cash,450,900,at wholesale market: traveling trader going elsewhere,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,2,180,30,man,100,,no,,no,no,yes,no
64,2,1,tahisas,2,quintal,2,white,cash,1800,900,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,10,240,120,man,100,,no,,no,no,no,
64,2,2,sene,1,quintal,1,white,cash,1200,1200,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,own and other donkeys,10,240,110,man,100,,no,,no,no,no,
65,2,1,tir,1,quintal,.92000002,white,cash,1380,1500,consumer,the buyer  is a relative,local(weekly) market,yes,no,,own donkey,0,60,30,man,100,,no,,no,no,yes,yes
65,2,2,yekatit,.079999998,quintal,.079999998,white,cash,100,1250,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),no,no,,by foot,0,60,30,woman,100,,no,,no,no,yes,yes
66,1,1,tir,2,small madaberia,1,white,cash,830,830,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,own and other donkeys,10,180,30,man,100,,no,,no,no,yes,yes
67,1,1,tir,1,quintal,1,white,cash,1000,1000,"trader with fixed shop, selling teff to addis",the buyer  is a relative,trader shop (fixed),yes,no,,own donkey,10,120,5,man,100,,no,,no,no,yes,no
68,1,1,miazia,1,quintal,1,white,cash,1000,1000,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,120,180,man,100,,no,,no,no,yes,no
69,2,1,megabit,1,quintal,1,white,cash,1300,1300,consumer,he gives higher prices,local(weekly) market,no,no,,own donkey,15,60,120,man,100,,no,,no,no,yes,no
69,2,2,miazia,1,quintal,1,white,cash,1000,1000,"trader with fixed shop, selling teff to addis",the buyer  is a relative,trader shop (fixed),yes,no,,own donkey,10,60,120,man,100,,no,,no,no,yes,no
70,1,1,megabit,4,small madaberia,2,white,cash,2400,1200,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,0,120,20,man,100,,no,,no,no,no,
71,1,1,tir,2,small madaberia,1,white,cash,1000,1000,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,150,10,man,100,,no,,no,no,no,
72,1,1,yekatit,2,small madaberia,1,white,cash,1100,1100,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,own donkey,0,180,20,man,100,,no,,no,no,no,
73,5,2,tir,1,small madaberia,.55000001,magna,cash,495,900,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,0,180,30,man,100,,no,,no,no,no,
73,5,1,tahisas,1.5,quintal,1.5,magna,cash,1380,920,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,own donkey,0,180,60,man,100,,no,,no,no,no,
73,5,4,hamle,7,sahin/lotery,.1,magna,cash,140,1400,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,yes,yes,don't know,own donkey,0,180,30,man,100,,no,,no,no,no,
73,5,5,yekatit,3,sahin/lotery,.050000001,magna,cash,55,1100,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,yes,yes,don't know,own donkey,0,180,30,man,100,,no,,no,no,no,
73,5,3,miazia,11,sahin/lotery,.15000001,magna,cash,172.5,1150,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,yes,yes,don't know,own donkey,0,180,30,man,100,,no,,no,no,no,
74,3,3,hidar,.5,quintal,.5,mix,cash,5500,1100,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,1,other donkeys,0,25,20,man,100,,no,,no,no,yes,yes
74,3,1,tir,1.5,quintal,1.5,white,cash,1050,700,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,other donkeys,0,25,40,man,100,,no,,no,no,no,
74,3,2,megabit,1,quintal,1,white,cash,840,840,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,no,,other donkeys,0,25,20,mix,100,,no,,no,no,no,
75,4,3,tir,2,small madaberia,1,white,cash,800,800,"trader with fixed shop, selling teff to addis",he gives higher prices,local(weekly) market,yes,yes,2,by foot,0,240,150,mix,100,,no,,no,no,yes,yes
75,4,1,hidar,1,small madaberia,1,white,cash,800,800,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,other donkeys,0,240,180,man,100,,no,,no,no,yes,yes
75,4,2,tahisas,2,small madaberia,1,white,cash,850,850,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,2,other donkeys,0,240,180,man,100,,no,,no,no,yes,no
75,4,4,yekatit,1,dirib,.41999999,white,cash,342,800,consumer,he gives higher prices,local(weekly) market,no,no,,by foot,0,240,150,man,100,,no,,no,no,yes,yes
76,2,2,yekatit,3,quintal,3,white,cash,3120,1040,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,0,90,5,man,100,,no,,no,no,no,
76,2,1,yekatit,3,quintal,3,white,cash,3120,1040,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,3,own and other donkeys,0,90,5,man,100,,no,,no,no,no,
77,1,1,tahisas,2,small madaberia,1.4,magna,cash,1155,825,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),yes,yes,3,other donkeys,30,120,30,man,100,,no,,no,no,yes,yes
78,1,1,yekatit,1.5,quintal,1.5,magna,cash,1200,800,"trader with fixed shop, selling teff to addis",the buyer  is a relative,trader shop (fixed),yes,no,,own donkey,20,60,60,man,100,,no,,no,no,yes,no
79,1,1,yekatit,3,quintal,3,white,cash,3000,1000,"trader with fixed shop, selling teff to addis",he gives higher prices,trader shop (fixed),no,no,,own donkey,40,30,30,mix,100,,no,,no,no,yes,yes
80,2,1,miazia,2,small madaberia,1,white,cash,1200,1200,"trader with fixed shop, selling teff to addis",there is no real difference with other traders,trader shop (fixed),yes,no,,own and other donkeys,0,210,30,mix,100,,no,,no,no,yes,no
80,2,2,yekatit,24,sahin/lotery,.34,white,cash,360,1080,at wholesale market: traveling trader going elsewhere,there is no real difference with other traders,local(weekly) market,yes,no,,by foot,0,180,30,woman,100,,no,,no,no,yes,no
81,2,1,megabit,2,small madaberia,1,white,cash,1100,1100,farmer-trader in the village,he gives higher prices,local(weekly) market,no,no,,other donkeys,0,60,20,man,100,,no,,no,no,yes,no
81,2,2,miazia,1,small madaberia,.5,white,cash,550,1100,farmer-trader in the village,he gives higher prices,local(weekly) market,no,no,,other donkeys,0,60,20,man,100,,no,,no,no,yes,no
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,1,tir,4,quintal,4,white,cash,3960,990,at wholesale market: traveling trader going to addis,he gives higher prices,trader shop (fixed),yes,no,,own donkey,0,120,15,man,100,,no,,no,no,no,
84,2,2,ginbot,2,small madaberia,1,white,cash,1000,1000,at wholesale market: traveling trader going to addis,i trust his weighing,trader shop (fixed),yes,no,,other donkeys,0,120,10,man,100,,no,,no,no,yes,yes
