hhid,sectionf31,sectionf32,sectionf33,sectionf34,sectionf35,sectionf36,sectionf37,sectionf38,sectionf39,sectionf310,sectionf311
126,2,1,.75,1,.40000001,1,3,15,0,,0
127,4,1,2,1,1,1,2,21,75,none,0
127,5,1,.5,1,.25,1,1,15,17.5,none,0
127,6,1,.5,1,.25,1,1,15,17.5,none,0
127,7,1,.5,1,.25,1,1,15,17.5,none,0
127,8,1,.5,1,.25,1,1,15,17.5,none,0
127,9,1,.5,1,.25,1,1,15,17.5,none,0
127,10,1,.5,1,.25,1,1,15,17.5,none,0
127,11,1,.5,1,.25,1,1,15,17.5,none,0
127,12,1,1,1,.5,1,1,18,35,none,0
129,2,1,.5,1,.12,1,2,20,12,2-4-d,0
129,3,1,.5,1,.5,1,2,20,18,2-4-d,0
129,6,2,.25,1,.15000001,1,1,20,12,2-4-d,0
129,7,1,.25,1,.15000001,1,1,20,9,2-4-d,0
129,8,1,.2,1,.12,1,1,20,6,2-4-d,0
129,9,1,.40000001,1,.2,1,2,20,12,2-4-d,0
129,10,1,.25,1,.15000001,1,1,20,9,2-4-d,0
130,2,1,.2,1,.1,1,1,21,16,do not know,0
130,3,1,.30000001,1,.2,1,1,21,24,do not know,0
130,4,1,.07,1,.050000001,1,1,21,12,do not know,0
131,1,1,.050000001,1,0,,1,30,10,2-4-d,0
131,2,1,1,1,.5,1,1,30,40,2-4-d,0
131,6,1,.5,1,.25,1,1,30,20,2-4-d,0
132,1,1,.5,1,.25,2,2,15,0,,0
132,2,1,.5,1,.25,2,2,21,0,,0
132,5,1,.5,1,.25,2,1,21,12,do not know,0
132,7,1,.34999999,1,.25,2,2,21,9,do not know,0
132,8,1,1,1,.5,2,1,21,12,do not know,0
133,2,1,.40000001,1,0,,1,21,30,do not know,0
133,3,1,.5,1,0,,1,21,40,do not know,0
134,1,1,.15000001,1,.1,2,2,14,12,2-4-d,0
134,3,1,.75,1,.1,1,1,14,12,2-4-d,0
134,4,1,.75,1,.1,1,1,14,12,2-4-d,0
134,6,1,.89999998,1,.15000001,1,1,14,18,2-4-d,0
135,1,1,2.5,1,1.25,1,2,15,0,,0
135,2,1,2.5,1,1.25,1,2,20,0,,0
136,1,1,.1,1,.050000001,1,2,14,6,2-4-d,0
137,1,1,.029999999,1,.02,1,3,15,10,do not know,0
138,1,1,.5,1,.5,2,1,15,12,do not know,0
138,2,1,.25,1,.25,1,1,15,6,do not know,0
139,2,1,.30000001,1,.15000001,1,1,16,15,2-4-d,0
139,4,1,.60000002,1,.44999999,1,1,15,30,2-4-d,0
139,5,1,.5,1,.30000001,1,2,21,27,2-4-d,0
139,6,1,.30000001,1,.14,1,2,15,27,2-4-d,0
139,7,1,.69999999,1,.5,1,1,15,45,2-4-d,0
139,7,2,.69999999,1,.5,1,1,21,45,2-4-d,0
139,8,1,.44999999,1,.30000001,1,1,21,30,2-4-d,0
140,1,1,.64999998,1,.38,1,1,21,20,do not know,0
140,2,1,.34999999,1,.12,1,1,21,10,do not know,0
140,4,1,2.5,1,1.5,1,1,21,100,do not know,0
140,5,1,1,1,.5,1,1,21,40,do not know,0
140,6,1,.5,1,.25,1,1,21,20,do not know,0
141,1,1,1,1,.5,1,1,21,40,other,0
141,2,1,.5,1,.5,1,1,30,15,other,0
141,3,1,.5,1,.5,1,1,21,15,other,0
142,3,4,1,1,1,2,1,15,24,2-4-d,0
142,4,1,.30000001,1,.2,2,1,15,10,2-4-d,0
142,5,1,.5,1,.25,2,1,21,20,2-4-d,0
142,6,1,1,1,.5,2,1,21,45,2-4-d,0
142,7,1,.30000001,1,.2,2,1,15,10,2-4-d,0
143,1,1,.12,1,.12,1,2,21,0,,0
143,2,1,.38,1,.38,1,1,14,0,,0
144,1,1,1.5,1,.5,1,1,20,75,2-4-d,0
144,3,1,1,1,.5,1,1,25,37.5,2-4-d,0
144,3,2,1,1,.5,1,1,25,37.5,2-4-d,0
145,3,1,.25,1,.30000001,2,2,30,24,do not know,0
145,4,1,.25,1,.30000001,2,2,30,24,do not know,0
145,5,1,.15000001,1,.1,2,1,30,12,do not know,0
146,1,1,.07,1,.050000001,1,1,15,3,2-4-d,0
146,4,1,.5,1,.25,1,2,7,12,2-4-d,0
146,5,1,.2,1,.1,1,2,20,6,2-4-d,0
146,6,1,.2,1,.050000001,1,1,15,6,2-4-d,0
147,1,1,1,1,.5,1,2,21,35,other,0
147,2,1,1,1,.5,1,2,21,35,other,0
147,3,1,2,1,1,1,2,21,75,other,0
148,1,1,1,1,.5,2,2,15,0,,0
148,2,1,.5,1,.25,2,2,15,0,,1
149,2,1,1,1,.5,2,1,30,20,do not know,0
149,3,1,.5,1,.25,2,1,21,10,do not know,0
149,4,1,.5,1,.25,2,1,30,10,do not know,0
149,5,1,.5,1,.25,2,1,21,10,do not know,0
150,3,1,1,1,.5,2,1,15,40,do not know,0
150,4,1,.25,1,.13,2,1,21,12,do not know,0
150,5,1,.25,1,.13,1,1,21,12,do not know,0
150,6,1,.25,1,.14,2,1,21,12,do not know,0
150,7,1,.25,1,.13,1,1,21,12,do not know,0
150,8,3,.13,1,.13,2,1,15,6,do not know,0
151,3,1,5,1,2.5,2,1,20,160,2-4-d,0
151,8,1,1,1,.5,2,1,20,20,2-4-d,0
152,3,1,.75,1,.25,2,1,21,20,2-4-d,0
152,4,1,1,1,.5,2,1,15,45,2-4-d,0
153,2,1,.25,1,.25,2,2,14,0,,0
153,4,1,.25,1,.25,2,2,14,0,,0
154,2,1,1,1,.5,2,1,21,45,do not know,0
154,4,1,.25,1,.12,2,1,15,10,do not know,0
155,2,1,1,1,.5,1,1,15,20,2-4-d,0
156,3,1,1,1,.5,2,1,15,28,2-4-d,0
156,4,1,1,1,.5,2,1,15,28,2-4-d,0
156,8,1,.5,1,.25,2,1,20,14,2-4-d,0
156,9,1,.5,1,.25,2,1,20,14,2-4-d,0
157,2,1,.5,1,.25,2,2,15,9,2-4-d,0
158,2,1,.5,1,.25,2,2,30,6,do not know,0
159,2,1,.40000001,1,.15000001,1,3,15,0,,0
159,3,1,.60000002,1,.34999999,1,5,10,30,do not know,0
160,2,1,.25,1,.25,1,2,15,17.5,do not know,0
160,3,1,.75,1,.25,1,2,15,17.5,do not know,0
161,2,1,.5,1,.25,2,1,21,20,do not know,0
161,5,1,1,1,.5,2,1,21,45,do not know,0
162,1,1,.5,1,.15000001,1,1,15,20,2-4-d,0
162,2,1,1.5,1,.5,1,1,21,60,2-4-d,0
162,3,1,.25,1,.34999999,1,1,21,20,2-4-d,0
163,2,1,.40000001,1,.25,1,3,15,0,,0
164,3,1,.5,1,.25,2,1,21,0,,0
164,4,1,1,1,.5,2,1,21,20,do not know,0
164,5,1,.5,1,.25,2,1,25,0,,0
165,1,2,.75,1,.25,2,1,21,30,do not know,0
165,2,1,1,1,.25,2,1,21,30,do not know,0
166,2,1,.5,1,.34999999,2,1,15,16,do not know,0
166,4,2,1,1,.60000002,2,1,20,32,do not know,0
166,5,1,.5,1,.34999999,2,1,15,16,do not know,0
166,9,1,.5,1,.34999999,2,1,15,16,do not know,0
167,2,1,.1,1,.02,1,1,20,0,,0
168,3,1,.5,1,.25,2,1,15,1,none,30
169,2,1,.5,1,.5,1,1,30,30,2-4-d,0
170,3,1,.34999999,1,.15000001,2,1,30,6,2-4-d,0
170,3,2,.34999999,1,.15000001,2,1,30,6,2-4-d,0
170,4,1,.34999999,1,.15000001,2,1,30,12,2-4-d,0
170,6,1,.25,1,.15000001,2,1,30,6,2-4-d,0
170,8,1,.15000001,1,.1,2,1,30,3,2-4-d,0
171,3,1,.5,1,.18000001,1,2,20,6,2-4-d,0
171,4,1,.5,1,.30000001,2,1,20,6,2-4-d,0
171,5,1,.5,1,.34999999,2,1,20,6,2-4-d,0
172,1,1,.5,1,.25,1,1,30,0,,0
172,2,1,.25,1,.25,1,2,15,6,do not know,0
173,2,1,.25,1,.12,2,1,45,10,2-4-d,0
173,3,1,.25,1,.12,2,1,45,10,2-4-d,0
173,4,1,.25,1,.12,2,1,45,10,2-4-d,0
173,5,1,.5,1,.25,2,1,40,20,2-4-d,0
174,5,1,1,1,.5,2,1,15,10,do not know,0
175,3,1,.07,1,.050000001,2,1,15,5,do not know,0
175,6,1,1,1,.5,2,1,15,40,do not know,0
175,7,1,.5,1,.5,2,1,20,35,do not know,0
175,8,1,.5,1,.25,2,1,20,20,do not know,0
175,9,1,.5,1,.25,2,1,20,20,do not know,0
176,1,3,.5,1,.25,1,2,20,40,2-4-d,0
176,2,1,.5,1,.25,1,2,30,40,2-4-d,0
177,1,4,.40000001,1,.2,2,1,20,30,2-4-d,0
177,2,1,.2,1,.30000001,2,1,15,10,2-4-d,0
177,3,2,.2,2,.2,2,1,15,10,2-4-d,0
177,4,1,.40000001,1,.40000001,2,1,20,20,2-4-d,0
178,1,1,3,1,1.5,1,2,15,140,2-4-d,0
178,2,1,2,1,1,1,2,20,70,2-4-d,0
178,5,2,1.5,1,1.5,1,2,15,35,2-4-d,0
178,5,3,1.5,1,1.5,1,2,15,83,2-4-d,0
179,1,1,.5,1,1,3,1,15,9.8999996,2-4-d,0
179,2,1,.25,1,.5,3,1,15,3.3,2-4-d,0
180,1,1,1,1,.5,2,1,20,20,2-4-d,0
180,3,1,.40000001,1,.30000001,2,1,30,12,2-4-d,0
180,5,1,1,1,.5,2,1,25,20,2-4-d,0
182,1,1,.75,1,.37,1,1,30,18,2-4-d,0
182,2,1,.5,1,.25,1,1,30,0,,0
182,3,1,.40000001,1,.2,1,1,30,0,,0
182,4,1,.25,1,.12,1,1,30,6,2-4-d,0
182,5,1,.25,1,.12,1,1,30,6,2-4-d,0
183,1,1,.5,1,.5,1,1,25,40,2-4-d,0
183,2,1,.25,1,.25,1,1,30,30,2-4-d,0
183,5,1,.25,1,.25,1,1,25,30,2-4-d,0
183,6,1,.12,1,.12,1,1,30,20,2-4-d,0
183,7,1,.12,1,.12,1,1,30,20,2-4-d,0
183,8,1,.5,1,.5,1,1,25,30,2-4-d,0
184,1,1,1,2,.5,2,2,20,10,2-4-d,0
184,5,1,.5,2,.25,2,2,20,3.3,2-4-d,0
185,1,1,3,1,1.5,1,1,20,70,2-4-d,0
185,2,1,4,1,2,1,1,25,140,2-4-d,0
186,2,1,.25,1,.13,1,1,20,3.3,2-4-d,0
186,4,1,.5,1,0,,2,15,6.5999999,2-4-d,0
187,1,1,1.5,3,.5,2,2,15,6.6599998,2-4-d,0
188,1,1,3,1,1.5,1,1,15,130,2-4-d,0
188,2,1,.13,1,.13,1,1,15,20,2-4-d,0
189,2,1,1,2,.5,2,2,21,0,,0
190,1,1,.40000001,1,.25,1,1,15,6.6599998,2-4-d,0
190,3,1,.5,1,.25,1,1,15,6.6599998,2-4-d,0
191,3,4,1,1,.5,2,1,7,6,do not know,0
192,3,1,.75,1,.25,1,1,15,10,2-4-d,0
192,4,1,.5,1,.13,1,1,15,7,2-4-d,0
193,1,1,2,1,.5,2,1,15,40,do not know,0
193,3,1,1,1,.25,2,1,15,13,do not know,0
194,2,1,1,1,.5,2,1,15,27,2-4-d,0
194,4,1,.5,1,.25,2,1,15,7,2-4-d,0
194,5,1,.25,1,.12,2,1,15,3,2-4-d,0
195,5,1,.5,1,.25,1,3,20,50,2-4-d,0
195,6,1,.25,1,.12,1,3,20,20,2-4-d,0
196,3,1,.0099999998,1,.050000001,1,1,10,0,,0
196,4,1,.0099999998,1,.050000001,1,2,10,6,do not know,0
196,6,1,1,1,.5,1,2,10,16,do not know,0
196,7,1,.5,1,.5,1,2,10,12,do not know,0
197,2,1,.56,1,.56,2,2,30,12.32,2-4-d,0
197,3,1,.38,1,.38,2,2,30,6.6599998,2-4-d,0
197,4,1,.38,1,.38,2,2,30,6.6599998,2-4-d,0
198,1,1,2,2,1,1,2,15,0,,0
198,6,1,.5,2,.25,1,2,15,0,,0
199,2,2,1.5,1,.5,2,2,15,0,,0
199,3,1,1.25,1,.5,2,2,20,0,,0
200,1,1,.5,1,.5,2,1,30,13,2-4-d,0
200,3,1,.25,1,.25,2,2,30,7,2-4-d,0
200,4,1,1,1,1,2,2,30,25,2-4-d,0
200,7,1,1,1,1,2,2,30,25,2-4-d,0
201,1,1,1.13,1,1.13,1,1,15,75,do not know,0
201,1,2,.38,1,.38,1,1,15,25,do not know,0
202,1,1,.25,1,.13,2,2,21,13,do not know,0
202,1,2,.25,1,.13,2,2,21,13,do not know,0
202,3,1,1,1,.5,2,2,21,26,do not know,0
203,1,1,1.5,1,1,1,2,15,34,do not know,0
203,2,1,.2,1,.25,1,2,15,11.42,do not know,0
203,4,1,.2,1,.15000001,1,2,15,11.42,do not know,0
203,6,1,1,1,1.5,1,2,15,68.57,do not know,0
203,7,1,.30000001,1,.15000001,1,2,15,11.42,do not know,0
203,8,1,.2,1,.15000001,1,2,15,11.42,do not know,0
204,1,1,1,1,.5,2,2,15,40,do not know,0
204,2,1,1,1,.5,2,2,15,40,do not know,0
204,3,1,.5,1,.25,2,2,15,20,do not know,0
204,4,1,.5,1,.25,2,2,15,20,do not know,0
205,1,1,1.5,1,.75,1,1,20,don't know,do not know,0
205,2,1,.75,1,.38,1,1,20,don't know,do not know,0
205,3,1,.5,1,.25,1,1,20,don't know,do not know,0
205,5,1,1.25,1,.63,1,2,20,don't know,do not know,0
205,7,4,.5,1,.25,1,2,20,don't know,do not know,0
205,8,1,.38,1,.19,1,2,20,don't know,do not know,0
206,1,1,.5,1,.25,1,2,15,23,2-4-d,0
206,2,1,.25,1,.13,1,1,20,8,2-4-d,0
207,1,1,.5,1,.25,1,1,20,0,,0
207,3,1,.25,1,.13,1,1,15,10,2-4-d,0
208,3,1,1,1,.5,2,1,15,6,do not know,0
208,4,1,1,1,.5,2,1,15,6,do not know,0
209,1,1,.5,1,.25,1,2,7,0,,0
209,3,1,.5,1,.5,1,2,7,0,,0
210,2,1,.5,1,.25,2,2,15,40,do not know,0
211,2,1,.25,1,.13,1,2,15,0,,0
211,3,1,.5,1,.25,1,2,15,20,do not know,0
212,1,1,1.5,1,.5,1,1,25,23,2-4-d,0
212,2,1,1.5,1,.75,1,1,20,23,2-4-d,0
212,3,1,1,1,.40000001,1,1,22,23,2-4-d,0
212,4,1,1,1,.40000001,1,1,18,23,2-4-d,0
212,5,1,1.5,1,.5,1,1,26,23,2-4-d,0
212,7,1,1,1,.40000001,1,1,27,23,2-4-d,0
213,1,1,1,1,.5,2,1,15,0,,0
213,2,1,.5,1,.25,2,1,15,0,,0
213,4,1,.5,1,.25,2,1,15,0,,0
214,1,1,1,1,.5,2,1,21,12,2-4-d,0
214,2,1,1,1,.5,2,1,21,12,2-4-d,0
215,1,1,.75,1,.25,2,3,15,0,,0
215,2,1,.75,1,.25,2,3,15,0,,0
215,3,1,.75,1,.25,2,2,15,5,do not know,0
216,1,1,2,1,1,2,3,21,0,,0
217,1,1,.33000001,1,.16,2,1,16,12,do not know,0
217,2,1,.5,1,.23999999,2,1,16,18,do not know,0
217,3,1,.16,1,.079999998,2,1,16,6,do not know,0
218,1,1,.25,1,.13,2,2,15,9,2-4-d,0
219,1,1,2,1,1,1,2,15,40,2-4-d,0
219,4,1,1,1,.5,1,2,15,20,2-4-d,0
219,6,1,1,1,.5,1,2,15,20,2-4-d,0
219,7,1,.5,1,.25,1,2,15,10,2-4-d,0
219,9,1,.25,1,.13,1,2,15,5,2-4-d,0
220,2,2,.5,1,.25,1,1,15,14,do not know,0
220,3,1,1,1,.5,1,1,15,21,do not know,0
221,1,1,.5,1,.15000001,1,1,20,25,do not know,0
221,2,1,.5,1,.25,2,2,14,25,do not know,0
221,7,1,.25,1,.1,1,2,12,25,do not know,0
221,9,1,.5,1,.15000001,1,1,20,25,do not know,0
222,1,1,.25,1,.25,1,1,14,6,do not know,0
222,2,1,.5,1,.5,1,1,14,12,do not know,0
222,4,1,.5,1,.5,1,1,14,15,do not know,0
223,1,1,1,1,1,1,0,,23,do not know,0
224,1,1,2,2,1,2,2,15,80,do not know,0
224,4,1,.15000001,2,.1,2,2,15,7,do not know,0
225,1,3,1,1,.5,1,2,15,12,2-4-d,0
225,2,1,2,1,1,1,2,15,23,2-4-d,0
225,4,1,.5,1,.25,1,2,15,0,,0
225,5,1,.5,1,.25,1,2,15,0,,0
225,5,2,.5,1,.25,1,2,15,0,,0
225,7,1,1,1,.5,1,2,15,0,,0
225,8,1,1,1,.5,1,2,15,0,,0
225,12,1,.5,1,.25,1,2,15,0,,0
226,1,1,1.5,1,.5,2,1,30,20,do not know,0
226,6,1,.5,1,.25,2,1,30,6,do not know,0
227,1,1,.5,1,.5,1,4,25,80,2-4-d,0
227,2,1,.25,1,.25,1,3,25,40,2-4-d,0
227,4,1,.25,1,.25,1,4,25,40,2-4-d,0
228,2,1,.5,1,.25,1,1,25,20,do not know,0
229,1,1,.5,1,.15000001,1,2,15,12,do not know,0
229,2,1,1,1,.60000002,1,1,30,20,do not know,0
230,1,1,1,1,.5,2,2,25,30,do not know,0
230,4,1,.5,1,.5,2,1,20,12,do not know,0
231,1,1,.5,1,.5,1,1,16,39.5,2-4-d,0
231,2,1,.5,1,.5,1,1,16,39.5,2-4-d,0
232,2,1,.12,1,.079999998,1,1,16,60,do not know,0
232,4,1,.1,1,.050000001,1,1,16,40,do not know,0
233,3,1,1.5,1,.75,1,1,30,60,2-4-d,0
233,4,1,.38,1,.19,1,1,30,20,2-4-d,0
234,3,1,.75,1,.5,2,1,30,30,do not know,0
234,4,2,.25,1,.25,1,1,25,3,do not know,0
234,5,1,.75,1,.5,2,1,30,24,do not know,0
235,1,1,1,1,.5,1,2,25,45,2-4-d,0
235,2,1,.5,1,.25,1,2,30,30,2-4-d,0
235,3,1,.38,1,.2,1,2,20,30,2-4-d,0
236,2,1,.13,1,.059999999,1,1,30,10,do not know,0
236,6,1,.25,1,.13,1,1,30,20,do not know,0
236,7,1,.13,1,.059999999,1,1,30,10,do not know,0
236,8,1,.5,1,.25,1,1,30,12,do not know,0
237,1,1,4,1,2,1,2,16,164,2-4-d,0
237,2,1,.5,1,.25,1,1,16,41,2-4-d,0
237,4,1,.5,1,.25,1,1,16,41,2-4-d,0
237,5,1,.5,1,.25,1,1,16,41,2-4-d,0
238,1,1,2,1,1,1,1,40,80,none,0
238,1,2,1,1,.5,1,1,40,40,none,0
238,3,1,.25,1,.13,1,1,40,30,none,0
238,4,1,.25,1,.13,1,1,40,30,none,0
239,1,1,1.5,1,1.5,1,2,20,30,2-4-d,0
239,2,1,1.5,1,1.5,1,2,20,30,2-4-d,0
239,3,1,1,1,1,1,2,20,20,2-4-d,0
240,1,1,1,1,.5,1,1,20,50,do not know,0
240,1,2,1,1,.5,1,1,20,40,do not know,0
240,2,1,1,1,.5,1,1,20,20,do not know,0
241,1,1,1,1,.5,1,1,35,80,2-4-d,0
242,1,1,.5,1,.25,1,1,45,0,,0
243,2,1,.5,1,.25,1,1,30,30,do not know,0
244,3,1,.1,1,.050000001,1,1,40,8,2-4-d,0
245,1,1,.5,1,.13,1,2,20,30,do not know,0
245,3,1,.5,1,.13,1,3,25,30,do not know,0
246,1,1,.5,1,.15000001,1,1,35,20,2-4-d,0
246,2,1,1,1,.34999999,1,1,35,40,2-4-d,0
247,1,1,.5,1,.15000001,1,2,20,30,2-4-d,0
247,2,1,.30000001,1,.1,1,1,25,20,2-4-d,0
247,3,1,.30000001,1,.1,1,1,25,20,2-4-d,0
248,1,1,1.5,1,.5,1,1,35,40,2-4-d,0
248,2,1,.5,1,.25,1,1,40,20,2-4-d,0
248,3,1,.5,1,.25,1,1,40,20,2-4-d,0
249,3,1,.5,1,0,,1,35,40,2-4-d,0
250,1,1,1.5,1,.5,1,3,30,80,2-4-d,0
251,1,1,1,1,.5,1,0,,60,2-4-d,0
252,2,1,.25,1,0,,1,20,80,2-4-d,0
252,5,1,.25,1,0,,1,25,80,2-4-d,0
253,2,2,.2,1,.1,1,1,24,80,2-4-d,0
253,3,1,.2,1,.1,1,1,24,80,2-4-d,0
254,1,2,.5,1,0,,1,40,40,2-4-d,0
254,1,3,.25,1,0,,1,40,20,2-4-d,0
255,2,1,.5,1,.2,1,1,40,16,2-4-d,50
255,3,1,.5,1,.2,1,1,40,16,2-4-d,50
255,4,1,.5,1,.1,1,1,45,8,2-4-d,50
255,8,1,1.5,1,.5,1,1,5,5,2-4-d,150
256,1,1,1,1,.5,1,1,25,40,2-4-d,0
257,1,1,1,1,.5,1,2,30,40,2-4-d,0
258,1,1,1,1,.5,1,2,30,0,,0
258,2,1,.75,1,.38,1,2,30,0,,0
258,3,1,.25,1,.12,1,2,30,0,,0
259,1,1,.5,1,.5,1,2,30,40,2-4-d,0
259,4,1,.25,1,.25,1,2,30,20,2-4-d,0
259,5,1,.25,1,.25,1,2,30,20,2-4-d,0
260,1,1,1,1,.5,1,1,15,70,2-4-d,0
260,2,1,1,1,.5,1,1,25,70,2-4-d,0
260,3,1,1,1,.5,1,1,35,70,2-4-d,0
260,4,1,1,1,.5,1,1,35,70,2-4-d,0
262,1,1,.25,1,.25,1,2,30,20,2-4-d,0
262,2,1,.25,1,.25,1,2,30,20,2-4-d,0
262,3,1,.13,1,.13,1,2,30,10,2-4-d,0
263,1,1,1.5,1,.5,1,1,20,7,2-4-d,0
263,4,1,1.5,1,.5,1,1,20,7,2-4-d,0
264,1,1,.25,1,0,,1,45,28,2-4-d,0
265,2,1,.5,1,0,,1,30,24,2-4-d,0
265,4,1,1,1,0,,1,30,48,2-4-d,0
265,5,1,1.25,1,0,,1,30,60,2-4-d,0
266,2,1,.47999999,1,.36000001,1,1,40,60,2-4-d,0
267,2,1,.2,1,.25,1,2,40,70,2-4-d,0
268,1,1,.51999998,1,.2,1,1,30,70,2-4-d,0
268,2,1,.87,1,.34999999,1,1,40,140,2-4-d,0
268,4,1,.62,1,.25,1,1,40,70,2-4-d,0
268,7,2,.12,0,.050000001,1,1,40,30,2-4-d,0
269,2,1,0,,0,,1,30,16,2-4-d,0
269,3,1,.2,1,0,,1,30,16,2-4-d,0
270,1,1,.72000003,1,0,,1,30,60,2-4-d,0
271,2,1,.40000001,1,0,,1,40,60,2-4-d,0
360,4,1,.75,1,0,,1,35,40,2-4-d,0
272,2,1,.5,1,0,,1,16,40,2-4-d,0
273,1,1,.15000001,1,.40000001,1,1,30,10,2-4-d,0
273,2,1,.15000001,1,.40000001,1,1,30,10,2-4-d,0
273,3,1,.15000001,1,.40000001,1,2,30,10,2-4-d,0
273,4,1,.15000001,1,.40000001,1,2,30,10,2-4-d,0
273,5,1,.15000001,1,.40000001,1,2,30,10,2-4-d,0
274,2,1,.60000002,1,0,,1,30,90,2-4-d,0
275,1,1,.36000001,1,.18000001,1,2,30,30,2-4-d,0
275,2,1,.36000001,1,.18000001,1,2,30,30,2-4-d,0
